#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085345.1-p1      -           1004 4147at5820           -            788         0 1169.4   8.0   1   2  6.1e-227  6.5e-225  747.2   0.0     1   456     1   581     1   600 0.89 | transcript=PVX_085345.1 | gene=PVX_085345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1120650-1123664(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085345.1-p1      -           1004 4147at5820           -            788         0 1169.4   8.0   2   2  6.3e-125  6.7e-123  409.8  18.5   447   788   605  1004   594  1004 0.75 | transcript=PVX_085345.1 | gene=PVX_085345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1120650-1123664(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 4147at5820           -            788   1.5e-06   25.0  31.9   1   3   1.4e-08   1.5e-06   25.0  31.9   487   589   487   603   476   660 0.52 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 4147at5820           -            788   1.5e-06   25.0  31.9   2   3       1.7   1.8e+02   -1.8   0.3   556   589   778   811   772   850 0.60 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 4147at5820           -            788   1.5e-06   25.0  31.9   3   3       3.3   3.6e+02   -2.7   0.8   384   423   944   982   941   985 0.84 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 4147at5820           -            788   2.2e-06   24.4  46.5   1   2     2e-08   2.2e-06   24.4  46.5   498   612    94   214    27   236 0.47 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 4147at5820           -            788   2.2e-06   24.4  46.5   2   2      0.33        35    0.6   9.3   526   551  1086  1111  1070  1120 0.35 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 4147at5820           -            788     4e-06   23.6  36.0   1   2    0.0018      0.19    8.1  51.0   502   618   713   832   691   857 0.35 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 4147at5820           -            788     4e-06   23.6  36.0   2   2   3.8e-08     4e-06   23.6  36.0   526   640  1050  1163   991  1170 0.51 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 4147at5820           -            788   6.5e-05   19.6  62.2   1   2     9e-06   0.00096   15.7  39.7   447   589   159   309   141   394 0.51 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 4147at5820           -            788   6.5e-05   19.6  62.2   2   2   0.00089     0.095    9.1  14.5   462   581   455   578   426   635 0.46 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
