#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080415.1-p1      -           1346 1318at5820           -            924         0 1743.6  71.8   1   6  2.9e-115    4e-112  374.1   6.0     1   223     9   247     9   256 0.94 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1318at5820           -            924         0 1743.6  71.8   2   6  3.5e-181  4.8e-178  592.2   3.9   220   484   318   583   310   592 0.98 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1318at5820           -            924         0 1743.6  71.8   3   6   4.3e-55   5.9e-52  174.9  16.7   482   612   614   778   611   780 0.86 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1318at5820           -            924         0 1743.6  71.8   4   6      0.05        70   -0.7   0.1   602   621   807   827   794   832 0.73 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1318at5820           -            924         0 1743.6  71.8   5   6   3.9e-21   5.4e-18   62.5   0.1   588   668   905   992   900   993 0.84 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1318at5820           -            924         0 1743.6  71.8   6   6  5.6e-172  7.7e-169  561.8  13.3   667   924  1085  1346  1079  1346 0.98 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 1318at5820           -            924   8.8e-08   28.8  24.1   1   4      0.97   1.3e+03   -5.0   1.9   176   252   127   208    98   222 0.58 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 1318at5820           -            924   8.8e-08   28.8  24.1   2   4   1.5e-06    0.0021   14.3   2.4   228   296   335   403   317   504 0.79 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 1318at5820           -            924   8.8e-08   28.8  24.1   3   4   1.8e-05     0.025   10.7   0.1   740   814   602   669   548   675 0.89 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 1318at5820           -            924   8.8e-08   28.8  24.1   4   4     3e-07   0.00042   16.6   0.9   837   892   832   887   823   889 0.83 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 1318at5820           -            924   1.4e-06   24.8  19.3   1   3     0.042        58   -0.4   0.1   231   263   624   655   594   660 0.77 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 1318at5820           -            924   1.4e-06   24.8  19.3   2   3   6.8e-09   9.3e-06   22.0   4.5   721   851   768   883   734   889 0.80 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 1318at5820           -            924   1.4e-06   24.8  19.3   3   3     5e-05     0.069    9.2   2.3   837   893  1098  1158  1084  1177 0.81 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 1318at5820           -            924    0.0013   15.0   0.1   1   2   7.5e-06      0.01   12.0   0.1   233   262   109   138    97   153 0.85 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 1318at5820           -            924    0.0013   15.0   0.1   2   2     0.024        34    0.3   0.0   838   866   489   518   479   552 0.80 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1318at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1318at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1318at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:00 2026
# [ok]
