#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   1   8   4.2e-13   1.2e-09   35.7   1.1     1    39    10    48    10    51 0.95 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   2   8     6e-54   1.7e-50  170.7  12.4    28   138    94   204    87   211 0.94 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   3   8   2.1e-34   5.9e-31  106.1   5.1   153   226   390   466   366   475 0.86 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   4   8   3.2e-10   8.8e-07   26.2   0.0   224   275   537   599   533   605 0.84 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   5   8   1.3e-21   3.6e-18   63.8   0.1   269   338   687   767   678   780 0.81 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   6   8   3.1e-92   8.5e-89  297.3  31.1   335   519   792   980   772   987 0.95 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   7   8   2.5e-41   6.9e-38  129.0  17.7   517   626  1103  1228  1098  1235 0.84 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089315.1-p1      -           1499 4501at5820           -            749  1.5e-299  994.2 125.7   8   8   1.5e-61   4.1e-58  195.9  14.2   628   748  1365  1498  1361  1499 0.92 | transcript=PVX_089315.1 | gene=PVX_089315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:459215-463850(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001045.1-p1      -             95 4501at5820           -            749    0.0043   13.9   3.7   1   1   1.7e-06    0.0046   13.9   3.7   388   456     3    73     1    91 0.74 | transcript=PVX_001045.1 | gene=PVX_001045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:71061-71587(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4501at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4501at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4501at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:01 2026
# [ok]
