#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082470.1-p1      -            456 6503at5820           -            386  1.5e-257  852.2   3.9   1   1  5.4e-260  1.7e-257  852.0   3.9     1   386    61   456    61   456 0.98 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 6503at5820           -            386   1.5e-48  164.1   1.4   1   1   4.8e-50   1.5e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 6503at5820           -            386   1.5e-48  164.1   1.4   1   1   4.8e-50   1.5e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 6503at5820           -            386   5.1e-23   80.1   0.1   1   3   9.1e-23   2.8e-20   71.1   0.1    10   139   109   265   104   326 0.77 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 6503at5820           -            386   5.1e-23   80.1   0.1   2   3     0.079        24    2.2   0.0   223   292   361   435   351   454 0.78 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 6503at5820           -            386   5.1e-23   80.1   0.1   3   3       0.3        91    0.3   0.0   366   383   526   543   507   545 0.85 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 6503at5820           -            386   4.9e-16   57.1   2.5   1   2   2.9e-06   0.00088   16.8   0.4    10    37    33    60    28    74 0.82 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 6503at5820           -            386   4.9e-16   57.1   2.5   2   2   2.7e-13   8.4e-11   39.9   0.1    72   188   122   237   112   275 0.87 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 6503at5820           -            386   2.8e-14   51.3   1.5   1   3   3.6e-05     0.011   13.2   0.0    13    62     4    47     2    60 0.87 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 6503at5820           -            386   2.8e-14   51.3   1.5   2   3   3.6e-07   0.00011   19.7   0.5    75   140   128   192   121   211 0.85 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 6503at5820           -            386   2.8e-14   51.3   1.5   3   3   7.4e-06    0.0023   15.4   0.0   199   288   352   446   348   464 0.74 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 6503at5820           -            386   1.9e-13   48.6   0.4   1   1   1.6e-15     5e-13   47.2   0.4    13   156   110   252   101   285 0.85 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 6503at5820           -            386   2.3e-11   41.8   0.8   1   1   1.5e-13   4.6e-11   40.8   0.8     5   137    12   156     9   190 0.73 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 6503at5820           -            386   6.6e-11   40.3   0.1   1   1   4.1e-13   1.3e-10   39.3   0.1    13   141    26   157    20   189 0.80 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 6503at5820           -            386   8.1e-11   40.0   0.9   1   1   6.2e-13   1.9e-10   38.7   0.6    14   151   193   327   185   351 0.80 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 6503at5820           -            386   4.1e-10   37.6   0.5   1   2   1.4e-12   4.1e-10   37.6   0.5    12   138    99   236    85   254 0.80 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 6503at5820           -            386   4.1e-10   37.6   0.5   2   2       1.5   4.5e+02   -2.0   0.4   138   192   325   372   298   392 0.65 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 6503at5820           -            386   8.8e-10   36.5   1.6   1   2   3.5e-06    0.0011   16.5   0.1    13    65    14    69     6    80 0.83 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 6503at5820           -            386   8.8e-10   36.5   1.6   2   2   8.7e-07   0.00027   18.5   0.3    72   141   173   242   150   260 0.74 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 6503at5820           -            386   1.6e-08   32.4   1.9   1   1   1.4e-10   4.2e-08   31.0   1.9     8   151   764   898   761   911 0.82 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 6503at5820           -            386   2.8e-08   31.6   0.1   1   3    0.0038       1.2    6.5   0.0    13    49   118   157   114   186 0.80 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 6503at5820           -            386   2.8e-08   31.6   0.1   2   3   7.6e-08   2.3e-05   22.0   0.0    74   140   257   326   247   350 0.83 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 6503at5820           -            386   2.8e-08   31.6   0.1   3   3       5.2   1.6e+03   -3.8   0.0   365   382   812   829   804   830 0.82 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 6503at5820           -            386     3e-08   31.5   0.2   1   1   2.1e-10   6.4e-08   30.4   0.2    14   136    43   176    38   190 0.75 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 6503at5820           -            386   4.2e-08   31.0   0.8   1   2   6.7e-10   2.1e-07   28.7   0.8    11   182   591   747   581   775 0.71 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
