#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099715.1-p1      -           1180 3196at5820           -            672  1.5e-263  874.4  30.7   1   7  2.2e-114  2.6e-112  374.6  13.7     1   203     1   204     1   209 0.99 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 3196at5820           -            672  1.5e-263  874.4  30.7   2   7       1.9   2.2e+02   -1.9   0.0   208   251   341   391   336   433 0.70 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 3196at5820           -            672  1.5e-263  874.4  30.7   3   7   4.2e-59     5e-57  191.9   0.2   258   395   520   668   516   675 0.92 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 3196at5820           -            672  1.5e-263  874.4  30.7   4   7      0.28        32    0.8   0.0   391   428   714   759   711   766 0.71 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 3196at5820           -            672  1.5e-263  874.4  30.7   5   7   1.3e-27   1.5e-25   87.8   0.0   423   486   811   874   790   878 0.92 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 3196at5820           -            672  1.5e-263  874.4  30.7   6   7   6.5e-29   7.7e-27   92.1   0.1   487   551   903   968   901   973 0.95 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 3196at5820           -            672  1.5e-263  874.4  30.7   7   7   2.2e-41   2.5e-39  133.4   0.1   551   669  1017  1172  1014  1175 0.83 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 3196at5820           -            672   3.1e-28   96.7  32.7   1   3    0.0013      0.16    8.5  11.6    41   143    16   128     7   138 0.81 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 3196at5820           -            672   3.1e-28   96.7  32.7   2   3   3.9e-18   4.6e-16   56.5  14.8   226   538   610   911   599   919 0.79 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 3196at5820           -            672   3.1e-28   96.7  32.7   3   3   6.9e-11   8.2e-09   32.6   0.0   576   669   922  1020   914  1023 0.74 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 3196at5820           -            672   9.8e-26   88.5  62.4   1   5    0.0023      0.27    7.7   4.2    42   105    11    73     7    77 0.75 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 3196at5820           -            672   9.8e-26   88.5  62.4   2   5   1.2e-08   1.4e-06   25.1   8.0    37   105    52   119    51   121 0.92 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 3196at5820           -            672   9.8e-26   88.5  62.4   3   5   1.2e-09   1.4e-07   28.5   9.8    37   104   121   192   119   195 0.87 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 3196at5820           -            672   9.8e-26   88.5  62.4   4   5     6e-07   7.1e-05   19.5   9.3    38   105   173   239   173   241 0.93 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 3196at5820           -            672   9.8e-26   88.5  62.4   5   5   1.4e-13   1.7e-11   41.4   8.3    36   128   240   333   238   340 0.90 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 3196at5820           -            672   4.4e-16   56.6   0.4   1   2   5.6e-10   6.5e-08   29.6   0.4   428   537  1734  1848  1721  1859 0.81 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 3196at5820           -            672   4.4e-16   56.6   0.4   2   2   1.6e-08   1.8e-06   24.8   0.0   580   666  1862  1954  1851  1959 0.78 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 3196at5820           -            672   4.7e-16   56.5  24.3   1   4   2.2e-05    0.0026   14.4   4.6    44    86   470   511   458   516 0.91 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 3196at5820           -            672   4.7e-16   56.5  24.3   2   4   1.1e-06   0.00013   18.6   5.0   240   388  1153  1316  1120  1331 0.72 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 3196at5820           -            672   4.7e-16   56.5  24.3   3   4   0.00031     0.037   10.6   0.4   484   538  1553  1607  1498  1614 0.77 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 3196at5820           -            672   4.7e-16   56.5  24.3   4   4   1.7e-07     2e-05   21.4   0.0   576   620  1619  1663  1610  1675 0.82 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 3196at5820           -            672   5.5e-16   56.3   9.6   1   2   4.9e-14   5.7e-12   43.0   5.9   429   546    35   160    13   166 0.77 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 3196at5820           -            672   5.5e-16   56.3   9.6   2   2   1.3e-05    0.0015   15.1   0.1   582   663   168   254   162   263 0.77 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 3196at5820           -            672   4.1e-15   53.4  18.3   1   2   5.2e-11   6.1e-09   33.0   2.7    38   142    43   148    29   158 0.80 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
