#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   1  18   7.2e-05       0.4    6.3   0.3     1    16     1    16     1    20 0.93 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   2  18   1.8e-93   9.9e-90  300.1  22.0    15   191    80   267    77   277 0.94 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   3  18   2.7e-06     0.015   11.1   0.1   187   215   294   322   281   372 0.76 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   4  18   4.9e-36   2.7e-32  109.6   0.4   227   307   455   543   444   549 0.90 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   5  18   5.3e-56   2.9e-52  175.8   9.2   298   412   600   723   591   734 0.87 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   6  18  3.6e-108    2e-104  348.8  31.1   407   612   780   997   774  1001 0.94 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   7  18   1.6e-31   8.6e-28   94.7   9.2   611   673  1097  1159  1077  1169 0.86 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   8  18   9.6e-29   5.3e-25   85.5   7.1   672   735  1300  1363  1290  1365 0.93 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7   9  18   3.6e-64     2e-60  202.9  15.8   735   873  1396  1552  1387  1564 0.87 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  10  18   2.7e-12   1.5e-08   30.9   0.1   871   917  1621  1672  1617  1701 0.75 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  11  18   2.7e-42   1.5e-38  130.4   0.4   932  1053  1739  1872  1713  1876 0.84 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  12  18   5.6e-56   3.1e-52  175.8  12.8  1051  1181  1921  2059  1918  2066 0.95 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  13  18   2.1e-07    0.0011   14.7   0.0  1173  1217  2108  2160  2106  2167 0.82 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  14  18   1.6e-91   8.6e-88  293.6  20.9  1218  1376  2217  2378  2214  2385 0.97 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  15  18   7.2e-66     4e-62  208.6   7.4  1375  1541  2420  2635  2407  2653 0.81 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  16  18   3.6e-14     2e-10   37.1   3.7  1544  1591  2754  2810  2748  2826 0.82 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  17  18   2.2e-32   1.2e-28   97.5  17.9  1589  1665  2834  2910  2824  2926 0.88 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117595.1-p1      -           3120 376at5820            -           1789         0 2456.3 286.7  18  18   6.1e-68   3.4e-64  215.4  16.0  1655  1789  2964  3120  2940  3120 0.86 | transcript=PVX_117595.1 | gene=PVX_117595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1982909-1992271(-) | protein_length=3120 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/376at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/376at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/376at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:34 2026
# [ok]
