#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123085.1-p1      -           1280 3205at5820           -            970         0 1575.1 135.2   1   3         0         0 1058.9  79.2     1   685     1   881     1   885 0.89 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 3205at5820           -            970         0 1575.1 135.2   2   3  1.8e-122  1.7e-119  398.7  25.5   680   897   905  1148   898  1159 0.93 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 3205at5820           -            970         0 1575.1 135.2   3   3   2.7e-40   2.5e-37  126.7  14.5   890   970  1198  1280  1192  1280 0.94 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 3205at5820           -            970   7.8e-17   58.8  52.8   1   6     0.098        91   -1.0   0.1   153   191    27    65     7    99 0.77 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 3205at5820           -            970   7.8e-17   58.8  52.8   2   6   9.9e-08   9.1e-05   18.9   4.9    42   145   132   240   108   252 0.68 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 3205at5820           -            970   7.8e-17   58.8  52.8   3   6   2.4e-08   2.2e-05   20.9  11.0   328   413   354   435   252   471 0.81 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 3205at5820           -            970   7.8e-17   58.8  52.8   4   6     0.046        43    0.1   0.3   441   480   435   481   433   498 0.61 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 3205at5820           -            970   7.8e-17   58.8  52.8   5   6     4e-05     0.037   10.3   6.6   620   726   587   694   536   695 0.64 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 3205at5820           -            970   7.8e-17   58.8  52.8   6   6   2.2e-09     2e-06   24.4  10.7   726   843   641   760   633   784 0.77 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 3205at5820           -            970   6.4e-12   42.6   8.8   1   2   1.1e-08     1e-05   22.0   0.3   607   659     7    59     3    76 0.90 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 3205at5820           -            970   6.4e-12   42.6   8.8   2   2   2.7e-09   2.5e-06   24.1   2.9   749   836   101   191    90   226 0.80 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
