#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111165.1-p1      -            369 6781at5820           -            324  7.4e-193  638.3  63.2   1   1    2e-195    9e-193  638.0  63.2     1   316    11   338    11   353 0.97 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 6781at5820           -            324   1.1e-29  102.1  29.8   1   2   3.2e-25   1.5e-22   78.7  12.2     2   123    48   169    47   170 0.97 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 6781at5820           -            324   1.1e-29  102.1  29.8   2   2   2.8e-11   1.3e-08   32.9  12.1    89   187   158   258   151   294 0.86 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 6781at5820           -            324   1.3e-20   72.2  26.8   1   4       1.4   6.7e+02   -2.3   0.1   142   150   203   211   182   261 0.55 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 6781at5820           -            324   1.3e-20   72.2  26.8   2   4   5.5e-07   0.00025   18.8   1.4   228   279   828   883   812   885 0.66 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 6781at5820           -            324   1.3e-20   72.2  26.8   3   4   1.8e-17   8.1e-15   53.2   8.4     3   125   880  1007   878  1030 0.90 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 6781at5820           -            324   1.3e-20   72.2  26.8   4   4   5.7e-06    0.0026   15.4   0.8    72   125  1267  1319  1254  1342 0.53 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 6781at5820           -            324     4e-18   64.1  23.4   1   1   1.8e-12   8.1e-10   36.8   4.8    46   133   156   244   145   251 0.88 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 6781at5820           -            324   6.2e-16   56.9   9.1   1   1   1.8e-18   8.3e-16   56.5   9.1    14   125    36   147    24   176 0.68 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 6781at5820           -            324   1.7e-14   52.2  28.7   1   2   5.6e-07   0.00026   18.7   8.0    69   113    44    88    17   104 0.74 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 6781at5820           -            324   1.7e-14   52.2  28.7   2   2   2.9e-13   1.3e-10   39.4  12.7    74   184   229   339   176   354 0.86 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
