#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083030.1-p1      -            817 2337at5820           -            732         0 1514.2  15.2   1   1         0         0 1511.5  15.2     1   732     1   813     1   813 0.95 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097755.1-p1      -            800 2337at5820           -            732  1.8e-124  414.9  32.7   1   1  8.2e-127  7.5e-124  412.8  32.7    22   720    16   769     8   776 0.85 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 2337at5820           -            732   3.2e-90  301.6   1.7   1   2   2.3e-43   2.1e-40  136.9   0.0    89   285    69   278    61   300 0.84 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 2337at5820           -            732   3.2e-90  301.6   1.7   2   2   2.5e-51   2.3e-48  163.2   0.7   301   668   376   770   354   777 0.83 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 2337at5820           -            732   1.9e-55  186.7  15.5   1   5   3.3e-16   3.1e-13   47.1   0.0    94   195   109   220    97   235 0.84 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 2337at5820           -            732   1.9e-55  186.7  15.5   2   5     1e-21   9.2e-19   65.4   0.0   186   282   322   418   315   440 0.89 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 2337at5820           -            732   1.9e-55  186.7  15.5   3   5      0.56   5.2e+02   -3.2   0.0   395   423   656   684   643   686 0.81 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 2337at5820           -            732   1.9e-55  186.7  15.5   4   5   3.4e-16   3.2e-13   47.1   3.9   417   569   735   910   731   936 0.74 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 2337at5820           -            732   1.9e-55  186.7  15.5   5   5   1.3e-11   1.2e-08   31.9   0.3   584   669  1022  1107  1013  1122 0.92 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 2337at5820           -            732     3e-41  139.7  11.6   1   6     9e-19   8.3e-16   55.6   0.0    89   201    79   193    62   211 0.89 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 2337at5820           -            732     3e-41  139.7  11.6   2   6   9.5e-12   8.8e-09   32.4   0.0   209   267   286   344   258   349 0.87 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
