#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101435.1-p1      -           1589 1046at5820           -           1126         0 2175.1  71.7   1   5  4.3e-137  2.4e-134  447.5  15.0     1   259     5   284     5   315 0.92 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1046at5820           -           1126         0 2175.1  71.7   2   5   4.7e-91   2.6e-88  295.0   2.3   261   407   365   512   353   521 0.95 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1046at5820           -           1126         0 2175.1  71.7   3   5   8.5e-69   4.7e-66  221.3   2.3   406   549   556   710   552   729 0.90 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1046at5820           -           1126         0 2175.1  71.7   4   5  3.4e-205  1.9e-202  673.0  12.1   547   864   912  1238   866  1242 0.95 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1046at5820           -           1126         0 2175.1  71.7   5   5    1e-171  5.6e-169  562.1   8.8   865  1126  1327  1589  1319  1589 0.98 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1046at5820           -           1126   1.3e-82  276.2  31.5   1   6      0.13        72   -1.2   0.4   197   217   462   482   409   491 0.65 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1046at5820           -           1126   1.3e-82  276.2  31.5   2   6   2.7e-29   1.5e-26   90.5   0.0   210   336   712   849   667   856 0.79 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1046at5820           -           1126   1.3e-82  276.2  31.5   3   6   2.1e-18   1.2e-15   54.4   0.1   572   650   944  1021   923  1030 0.83 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1046at5820           -           1126   1.3e-82  276.2  31.5   4   6   1.1e-18   6.2e-16   55.3   0.5   715   806  1048  1142  1033  1154 0.88 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1046at5820           -           1126   1.3e-82  276.2  31.5   5   6      0.13        74   -1.2   2.1   826   869  1245  1286  1231  1307 0.80 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1046at5820           -           1126   1.3e-82  276.2  31.5   6   6   3.2e-29   1.7e-26   90.3   3.4   943  1113  1312  1503  1299  1523 0.83 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
