#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087115.1-p1      -            282 10420at5820          -            239    1e-147  488.6  17.3   1   1  3.3e-150    2e-147  487.7  17.3     1   239    20   278    20   278 0.94 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082355.1-p1      -            270 10420at5820          -            239   2.3e-19   68.4   0.9   1   2   1.3e-09   8.3e-07   27.3   0.5     9    59    40    90    36   114 0.91 | transcript=PVX_082355.1 | gene=PVX_082355 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=Pv_Sal1_chr12:996702-997514(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082355.1-p1      -            270 10420at5820          -            239   2.3e-19   68.4   0.9   2   2   2.5e-13   1.5e-10   39.5   0.0   123   227   121   222   108   231 0.87 | transcript=PVX_082355.1 | gene=PVX_082355 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=Pv_Sal1_chr12:996702-997514(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094790.1-p1      -            273 10420at5820          -            239     5e-17   60.8   6.7   1   2   1.1e-09   6.7e-07   27.6   0.2     9    62    61   114    55   136 0.83 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094790.1-p1      -            273 10420at5820          -            239     5e-17   60.8   6.7   2   2   4.6e-12   2.8e-09   35.4   2.4   121   227   139   244   126   251 0.87 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093555.1-p1      -            256 10420at5820          -            239   3.8e-13   48.1   5.5   1   1   3.1e-15   1.9e-12   45.8   5.5     6   230     5   226     2   233 0.81 | transcript=PVX_093555.1 | gene=PVX_093555 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=Pv_Sal1_chr01:634033-634957(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081375.1-p1      -            218 10420at5820          -            239   9.9e-07   27.0   1.1   1   2   2.2e-06    0.0013   16.8   0.1     9    71     8    71     5    82 0.86 | transcript=PVX_081375.1 | gene=PVX_081375 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=Pv_Sal1_chr02:289551-290774(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081375.1-p1      -            218 10420at5820          -            239   9.9e-07   27.0   1.1   2   2   0.00049       0.3    9.1   0.1   155   216   134   195    83   209 0.89 | transcript=PVX_081375.1 | gene=PVX_081375 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=Pv_Sal1_chr02:289551-290774(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081675.1-p1      -            256 10420at5820          -            239   1.4e-06   26.6   0.3   1   1   5.6e-07   0.00034   18.7   0.3     7   214    31   213    27   236 0.69 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124160.1-p1      -            207 10420at5820          -            239   9.9e-06   23.8   0.0   1   1   2.8e-08   1.7e-05   23.0   0.0     8    64    35    91    30   102 0.92 | transcript=PVX_124160.1 | gene=PVX_124160 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=Pv_Sal1_chr14:2101422-2102649(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 10420at5820          -            239   2.3e-05   22.6   4.6   1   2   5.4e-05     0.033   12.2   0.5     7    72    28    93    23    96 0.87 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 10420at5820          -            239   2.3e-05   22.6   4.6   2   2   2.9e-05     0.018   13.1   0.3   104   204    94   195    82   205 0.74 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080330.1-p1      -            241 10420at5820          -            239   0.00018   19.7   3.9   1   2   1.2e-05    0.0073   14.4   0.4     7    70    35    98    30   105 0.86 | transcript=PVX_080330.1 | gene=PVX_080330 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=Pv_Sal1_chr10:584772-586334(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080330.1-p1      -            241 10420at5820          -            239   0.00018   19.7   3.9   2   2    0.0024       1.5    6.8   0.3   117   209   111   207    89   214 0.75 | transcript=PVX_080330.1 | gene=PVX_080330 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=Pv_Sal1_chr10:584772-586334(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10420at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10420at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10420at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:05 2026
# [ok]
