#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000555.1-p1      -            529 5036at5820           -            465         0 1045.8  21.8   1   1         0         0 1045.0  21.8     1   465    47   529    47   529 0.99 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 5036at5820           -            465  1.2e-148  493.8  23.2   1   1    2e-150  1.8e-148  493.2  23.2     7   464    38   522    30   523 0.91 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 5036at5820           -            465   1.2e-81  272.9  20.6   1   1   2.1e-83   1.8e-81  272.3  20.6    30   459   126   559    98   562 0.88 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 5036at5820           -            465   8.3e-73  243.8   8.4   1   1   3.4e-74     3e-72  241.9   8.4    31   459   164   598   136   601 0.85 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 5036at5820           -            465   9.1e-43  144.7   5.5   1   3      0.52        45    0.6   0.0   402   456    31    86    20    95 0.79 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 5036at5820           -            465   9.1e-43  144.7   5.5   2   3      0.28        24    1.5   0.1   376   442    73   137    65   149 0.75 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 5036at5820           -            465   9.1e-43  144.7   5.5   3   3     1e-44   9.1e-43  144.7   5.5    24   296  1534  1819  1520  1860 0.84 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 5036at5820           -            465   5.6e-41  138.8  13.4   1   1   1.9e-42   1.7e-40  137.3  13.4    28   427  1171  1560  1160  1567 0.84 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 5036at5820           -            465   1.4e-40  137.5   8.2   1   1   2.5e-42   2.2e-40  136.9   8.2    29   291   485   758   474   782 0.85 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 5036at5820           -            465   2.2e-38  130.2  14.0   1   1   3.6e-40   3.1e-38  129.8  14.0    23   270    20   280     7   283 0.88 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 5036at5820           -            465   1.1e-32  111.4   3.2   1   1     2e-34   1.7e-32  110.8   3.2    21   281   107   376   101   402 0.86 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
