#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123260.1-p1      -            567 6754at5820           -            365  1.7e-227  752.7  27.6   1   3   2.5e-21   2.3e-18   64.5   3.7     1    48    26    73    26    80 0.94 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 6754at5820           -            365  1.7e-227  752.7  27.6   2   3   7.1e-89   6.6e-86  286.8   4.8    31   177    80   224    71   230 0.93 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 6754at5820           -            365  1.7e-227  752.7  27.6   3   3  2.6e-127  2.4e-124  413.3   4.0   166   365   352   561   315   561 0.94 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122290.1-p1      -            782 6754at5820           -            365   5.3e-72  241.0   3.4   1   1   1.5e-74   1.4e-71  239.7   3.4    82   359   497   781   480   782 0.91 | transcript=PVX_122290.1 | gene=PVX_122290 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=Pv_Sal1_chr14:471314-473986(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 6754at5820           -            365   5.4e-14   50.2   0.7   1   2      0.17   1.6e+02   -0.7   0.2   315   349     8    42     3    45 0.84 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 6754at5820           -            365   5.4e-14   50.2   0.7   2   2   5.9e-17   5.4e-14   50.2   0.7   114   326   686   883   680   913 0.70 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 6754at5820           -            365   9.4e-11   39.5   0.4   1   1     2e-13   1.8e-10   38.6   0.4   185   334   105   258    34   278 0.79 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 6754at5820           -            365   2.7e-09   34.7   0.1   1   1     2e-11   1.9e-08   32.0   0.1   175   321   115   252    48   272 0.71 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 6754at5820           -            365   3.8e-07   27.6   0.1   1   1   7.6e-10     7e-07   26.8   0.1   186   342   887  1058   797  1068 0.73 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6754at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6754at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6754at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:26 2026
# [ok]
