#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001075.1-p1      -            383 7611at5820           -            340  2.2e-186  617.1  31.8   1   1  2.6e-189  2.8e-186  616.8  31.8     3   340    12   383    10   383 0.92 | transcript=PVX_001075.1 | gene=PVX_001075 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=Pv_Sal1_chr03:32570-33721(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 7611at5820           -            340   4.3e-11   40.8  15.9   1   3   8.7e-09   9.6e-06   23.2   0.1    24   181   334   511   320   522 0.74 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 7611at5820           -            340   4.3e-11   40.8  15.9   2   3      0.46     5e+02   -2.2   1.4   123   169   630   675   615   703 0.72 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 7611at5820           -            340   4.3e-11   40.8  15.9   3   3   1.2e-09   1.3e-06   26.0   3.3   209   335  1180  1311  1115  1316 0.82 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122670.1-p1      -            685 7611at5820           -            340   1.4e-05   22.7   5.1   1   2     2e-07   0.00023   18.7   0.2    24   111   213   309   206   324 0.77 | transcript=PVX_122670.1 | gene=PVX_122670 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=Pv_Sal1_chr14:768843-770900(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122670.1-p1      -            685 7611at5820           -            340   1.4e-05   22.7   5.1   2   2    0.0023       2.6    5.4   0.9   226   313   566   652   549   659 0.80 | transcript=PVX_122670.1 | gene=PVX_122670 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=Pv_Sal1_chr14:768843-770900(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 7611at5820           -            340    0.0043   14.5   0.9   1   2     3e-05     0.033   11.6   0.2    22    77   110   162    95   233 0.84 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 7611at5820           -            340    0.0043   14.5   0.9   2   2      0.12   1.4e+02   -0.3   0.0   281   305   489   514   482   549 0.78 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 7611at5820           -            340    0.0044   14.5  26.2   1   6      0.98   1.1e+03   -3.3   0.0   289   330    75   115    73   120 0.61 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 7611at5820           -            340    0.0044   14.5  26.2   2   6      0.18     2e+02   -0.9   1.0   108   161   147   199   123   221 0.57 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 7611at5820           -            340    0.0044   14.5  26.2   3   6   5.5e-06    0.0061   14.0   0.9    20    53   339   373   329   429 0.73 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 7611at5820           -            340    0.0044   14.5  26.2   4   6       1.6   1.8e+03   -4.0   0.1    95   109   461   475   452   483 0.71 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 7611at5820           -            340    0.0044   14.5  26.2   5   6   0.00058      0.64    7.4   0.0   192   254   598   662   579   685 0.84 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 7611at5820           -            340    0.0044   14.5  26.2   6   6   0.00013      0.14    9.5   1.5   281   320   834   873   792   889 0.73 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7611at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7611at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7611at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:19 2026
# [ok]
