#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   1   9    0.0087        48    0.1   0.0     2    24   329   352   328   355 0.88 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   2   9   1.8e-89   9.8e-86  286.8   0.1    18   207   407   603   403   606 0.94 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   3   9    0.0076        42    0.3   0.0   200   220   623   643   615   656 0.79 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   4   9   2.3e-18   1.3e-14   51.6   3.5   221   256   778   813   770   820 0.92 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   5   9   1.2e-51   6.9e-48  161.7   0.6   257   360   866   971   864   980 0.92 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   6   9   1.6e-19     9e-16   55.4   0.1   360   413  1073  1129  1059  1134 0.89 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   7   9   2.2e-57   1.2e-53  180.7   0.0   413   522  1172  1288  1164  1299 0.88 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   8   9   1.4e-42   7.7e-39  131.7   0.0   516   603  1319  1409  1313  1418 0.92 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092080.1-p1      -           1724 1332at5820           -            802         0 1244.2  39.8   9   9  1.2e-119  6.5e-116  386.7  10.2   603   801  1524  1723  1482  1724 0.95 | transcript=PVX_092080.1 | gene=PVX_092080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1074335-1079509(-) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1332at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:36 2026
# [ok]
