#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114160.1-p1      -            358 9129at5820           -            305  1.5e-166  551.3  13.9   1   1  4.8e-169  1.8e-166  551.2  13.9     1   305    38   357    38   357 0.96 | transcript=PVX_114160.1 | gene=PVX_114160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:1208018-1209094(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 9129at5820           -            305   1.1e-07   29.7   0.5   1   2   2.9e-10   1.1e-07   29.7   0.5    20    91   104   174    90   191 0.90 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 9129at5820           -            305   1.1e-07   29.7   0.5   2   2      0.14        51    1.2   9.3    56   107   309   360   263   381 0.70 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 9129at5820           -            305     2e-06   25.5   2.5   1   1   1.1e-08   4.1e-06   24.5   2.5    22    96    48   122    39   143 0.89 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 9129at5820           -            305   1.2e-05   23.0   0.4   1   1   4.1e-08   1.5e-05   22.6   0.4    27    92     4    71     1    92 0.81 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 9129at5820           -            305   2.6e-05   21.9   0.7   1   1   1.6e-07   5.9e-05   20.7   0.7    25    97    49   121    34   131 0.88 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 9129at5820           -            305     3e-05   21.6   0.1   1   1     1e-07   3.8e-05   21.3   0.1    28    91    42   107    34   176 0.84 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 9129at5820           -            305   5.7e-05   20.7   2.3   1   2   1.6e-07   5.7e-05   20.7   2.3    25    91    42   108    26   137 0.88 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 9129at5820           -            305   5.7e-05   20.7   2.3   2   2      0.98   3.6e+02   -1.6   0.1   105   130   282   307   273   312 0.83 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 9129at5820           -            305   9.6e-05   20.0   3.5   1   2   2.6e-07   9.6e-05   20.0   3.5    29   101     2    75     1   118 0.78 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 9129at5820           -            305   9.6e-05   20.0   3.5   2   2      0.14        52    1.2   0.3   272   294   121   143   117   150 0.87 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 9129at5820           -            305   0.00014   19.4   0.6   1   2   3.8e-07   0.00014   19.4   0.6    28    92     3    71     1    75 0.86 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 9129at5820           -            305   0.00014   19.4   0.6   2   2       4.2   1.5e+03   -3.7   0.1    62    84   155   177   143   189 0.71 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 9129at5820           -            305    0.0004   18.0   1.9   1   3   1.1e-06    0.0004   18.0   1.9    29    91     8    76     2    95 0.76 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 9129at5820           -            305    0.0004   18.0   1.9   2   3       1.2   4.5e+02   -1.9   0.8    75   108   132   165   126   183 0.78 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 9129at5820           -            305    0.0004   18.0   1.9   3   3       2.6   9.4e+02   -3.0   6.8    39   144   190   299   185   308 0.57 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 9129at5820           -            305    0.0011   16.5   0.2   1   1   4.8e-06    0.0018   15.8   0.2    27    95   297   368   294   383 0.78 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 9129at5820           -            305    0.0028   15.2   0.4   1   2   7.7e-06    0.0028   15.2   0.4    27    91    25    86    17    95 0.84 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 9129at5820           -            305    0.0028   15.2   0.4   2   2       3.1   1.2e+03   -3.3   0.4    52    69   359   376   342   397 0.50 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 9129at5820           -            305    0.0081   13.7   2.8   1   1   3.7e-05     0.014   12.9   2.8    29    93    85   153    79   223 0.76 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 9129at5820           -            305     0.089   10.2   0.0   1   1   0.00035      0.13    9.7   0.0    26    91    81   146    71   156 0.91 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 9129at5820           -            305      0.43    8.0  21.1   1   3   7.7e-06    0.0029   15.2   8.6    22    91   184   253   167   311 0.83 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
