#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092500.1-p1      -            690 3953at5820           -            537  4.7e-271  898.5  74.4   1   4   4.5e-07   0.00063   16.9   0.1     1    18     1    18     1    44 0.77 | transcript=PVX_092500.1 | gene=PVX_092500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1430283-1432355(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092500.1-p1      -            690 3953at5820           -            537  4.7e-271  898.5  74.4   2   4   4.9e-24   6.8e-21   72.9   4.5     8    95    76   176    69   184 0.76 | transcript=PVX_092500.1 | gene=PVX_092500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1430283-1432355(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092500.1-p1      -            690 3953at5820           -            537  4.7e-271  898.5  74.4   3   4   8.3e-80   1.1e-76  257.0  12.5    93   236   197   341   195   348 0.97 | transcript=PVX_092500.1 | gene=PVX_092500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1430283-1432355(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092500.1-p1      -            690 3953at5820           -            537  4.7e-271  898.5  74.4   4   4  1.3e-173  1.8e-170  566.5  37.2   233   537   364   688   350   688 0.93 | transcript=PVX_092500.1 | gene=PVX_092500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1430283-1432355(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 3953at5820           -            537   3.4e-08   31.0   0.1   1   2   7.4e-05       0.1    9.6   0.0   345   405    12    71     1    81 0.87 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 3953at5820           -            537   3.4e-08   31.0   0.1   2   2   5.4e-08   7.5e-05   20.0   0.1   345   405    85   144    73   147 0.90 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 3953at5820           -            537    0.0032   14.6   2.9   1   2   2.3e-06    0.0032   14.6   2.9   345   405    39    98    23   108 0.90 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 3953at5820           -            537    0.0032   14.6   2.9   2   2     0.011        15    2.4   0.6   346   405   113   171   100   177 0.85 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 3953at5820           -            537    0.0039   14.3  14.4   1   2   1.2e-05     0.017   12.2   1.0   347   403    65   120    57   132 0.86 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 3953at5820           -            537    0.0039   14.3  14.4   2   2   0.00077       1.1    6.3   6.8   336   407   167   238   123   249 0.75 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
