#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116820.1-p1      -            339 11485at5820          -            260    2e-131  435.4  32.3   1   2   2.8e-23   8.6e-21   72.8   0.1     1    46     1    46     1    71 0.91 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 11485at5820          -            260    2e-131  435.4  32.3   2   2  3.3e-112    1e-109  364.3  28.8    44   260   104   330    96   330 0.94 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 11485at5820          -            260   1.3e-16   59.1   0.5   1   1   6.2e-19   1.9e-16   58.5   0.5     5    94     3    90     1   108 0.80 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 11485at5820          -            260   3.8e-14   51.0   0.7   1   1   2.3e-16   7.1e-14   50.1   0.7     8    84     4    74     2    80 0.91 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 11485at5820          -            260   4.1e-14   50.9   2.3   1   2   1.3e-16   4.1e-14   50.9   2.3     7    88    45   116    39   126 0.86 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 11485at5820          -            260   4.1e-14   50.9   2.3   2   2       1.5   4.5e+02   -1.7   0.9   162   185   241   264   237   298 0.75 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 11485at5820          -            260   8.9e-14   49.8   1.9   1   1   2.9e-16   8.9e-14   49.8   1.9     9    80     9    76     1    87 0.89 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 11485at5820          -            260   5.2e-12   44.0   2.4   1   1   3.1e-14   9.6e-12   43.1   2.4     8    94    85   166    78   218 0.85 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 11485at5820          -            260   7.4e-12   43.5   1.0   1   2   2.6e-14     8e-12   43.4   0.0     8    80    43   107    39   125 0.94 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 11485at5820          -            260   7.4e-12   43.5   1.0   2   2       5.9   1.8e+03   -3.7   0.2   164   190   205   231   201   241 0.65 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 11485at5820          -            260   6.1e-11   40.5   1.3   1   3     2e-13   6.1e-11   40.5   1.3     6    83    32    97    28   102 0.87 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
