#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081420.1-p1      -            168 12840at5820          -            154  2.1e-101  334.7  17.9   1   1  8.8e-104  2.4e-101  334.5  17.9     1   154    15   168    15   168 1.00 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 12840at5820          -            154   4.5e-65  216.7  12.6   1   1     2e-67   5.5e-65  216.4  12.6     1   154    26   179    26   179 0.99 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 12840at5820          -            154   6.4e-49  164.3   8.1   1   1   2.8e-51   7.6e-49  164.0   8.1     7   152    21   166    16   168 0.96 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 12840at5820          -            154   2.2e-43  146.3  10.5   1   1   8.6e-46   2.4e-43  146.2  10.5     5   148     3   146     1   149 0.98 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 12840at5820          -            154   7.8e-32  108.8   7.9   1   1   3.6e-34     1e-31  108.4   7.9     3   148     7   152     5   156 0.97 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 12840at5820          -            154   3.5e-14   51.4   2.0   1   1   2.6e-16   7.1e-14   50.4   2.0     8   151   456   601   452   602 0.81 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12840at5820          -            154     4e-10   38.3   6.0   1   1   7.7e-12   2.1e-09   35.9   6.0    13   150   380   525   369   529 0.77 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 12840at5820          -            154     5e-10   38.0   7.6   1   1   3.5e-12   9.6e-10   37.0   7.6    17   148    32   164    11   169 0.83 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 12840at5820          -            154   6.8e-10   37.5   9.5   1   2       6.5   1.8e+03   -2.8   0.1    53    74   276   296   268   307 0.74 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 12840at5820          -            154   6.8e-10   37.5   9.5   2   2   2.4e-12   6.8e-10   37.5   9.5    10   150   374   519   368   522 0.79 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 12840at5820          -            154   1.3e-09   36.6   8.7   1   3       6.8   1.9e+03   -2.9   0.0     8    35   322   351   319   366 0.65 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 12840at5820          -            154   1.3e-09   36.6   8.7   2   3   7.2e-06     0.002   16.5   0.4     6    73   417   483   414   489 0.88 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 12840at5820          -            154   1.3e-09   36.6   8.7   3   3   4.4e-08   1.2e-05   23.7   0.8    11    76   493   560   487   562 0.90 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 12840at5820          -            154   2.9e-08   32.2   6.7   1   2   3.1e-10   8.4e-08   30.7   1.6    71   144    31   104    21   117 0.89 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 12840at5820          -            154   2.9e-08   32.2   6.7   2   2     0.041        11    4.3   0.3    91   137   128   175   109   194 0.68 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101215.1-p1      -            209 12840at5820          -            154   1.5e-07   29.9   0.5   1   1   8.5e-10   2.3e-07   29.3   0.5    11   129    75   190    67   202 0.86 | transcript=PVX_101215.1 | gene=PVX_101215 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A tail domain interacting protein MTIP, putative | transcript_product=myosin A tail domain interacting protein MTIP, putative | location=Pv_Sal1_chr14:2729679-2730308(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087685.1-p1      -            107 12840at5820          -            154   1.9e-07   29.6   0.3   1   1   8.4e-10   2.3e-07   29.3   0.3     6    72    39   101    34   106 0.91 | transcript=PVX_087685.1 | gene=PVX_087685 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin, putative | transcript_product=centrin, putative | location=Pv_Sal1_chr01:31271-32174(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089667.1-p1      -            150 12840at5820          -            154   1.7e-05   23.3   2.6   1   1   6.6e-08   1.8e-05   23.1   2.6     6   145     5   144     1   150 0.85 | transcript=PVX_089667.1 | gene=PVX_089667 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=Pv_Sal1_chr05:749550-750532(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12840at5820          -            154   1.8e-05   23.2  12.1   1   3   6.8e-06    0.0019   16.6   1.3    88   134    13    59     2    70 0.83 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
