#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   1  12  6.3e-136  3.5e-132  440.7  58.1     6   274    41   341    38   355 0.88 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   2  12  6.9e-124  3.8e-120  400.7  32.3   275   487   406   618   399   630 0.98 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   3  12   2.4e-06     0.013   10.9   0.0   486   510   649   674   645   680 0.86 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   4  12   8.2e-51   4.6e-47  158.4  12.7   512   626   760   875   755   888 0.92 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   5  12     2e-86   1.1e-82  276.5   2.4   620   758  1078  1216  1057  1226 0.93 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   6  12  9.6e-227  5.3e-223  741.8  69.9   751  1134  1261  1657  1251  1658 0.95 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   7  12   1.7e-69   9.2e-66  220.4  27.9  1107  1279  1645  1845  1633  1851 0.80 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   8  12   3.7e-15   2.1e-11   40.1   5.5  1276  1317  1889  1933  1885  1938 0.91 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1   9  12  6.6e-182  3.6e-178  593.1  66.1  1326  1646  2053  2400  2049  2406 0.95 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1  10  12   2.6e-62   1.5e-58  196.5  10.1  1642  1751  2422  2539  2411  2544 0.91 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118345.1-p1      -           3019 303at5820            -           2020         0 3502.2 406.1  11  12   2.9e-65   1.6e-61  206.3  20.2  1750  1861  2599  2716  2596  2720 0.94 | transcript=PVX_118345.1 | gene=PVX_118345 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC7, putative | transcript_product=protein transport protein SEC7, putative | location=Pv_Sal1_chr12:2617308-2626367(-) | protein_length=3019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
