#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101050.1-p1      -            330 10503at5820          -            265  2.8e-131  435.0  23.6   1   3   5.6e-67   7.7e-64  214.0   6.6     1   125     1   133     1   142 0.91 | transcript=PVX_101050.1 | gene=PVX_101050 | organism=Plasmodium_vivax_Sal-1 | gene_product=t-SNARE, putative | transcript_product=t-SNARE, putative | location=Pv_Sal1_chr14:2599747-2600739(+) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101050.1-p1      -            330 10503at5820          -            265  2.8e-131  435.0  23.6   2   3   1.4e-20   1.9e-17   61.9   0.3   123   167   161   205   152   216 0.91 | transcript=PVX_101050.1 | gene=PVX_101050 | organism=Plasmodium_vivax_Sal-1 | gene_product=t-SNARE, putative | transcript_product=t-SNARE, putative | location=Pv_Sal1_chr14:2599747-2600739(+) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101050.1-p1      -            330 10503at5820          -            265  2.8e-131  435.0  23.6   3   3   2.7e-53   3.8e-50  169.1   3.4   167   265   229   330   221   330 0.93 | transcript=PVX_101050.1 | gene=PVX_101050 | organism=Plasmodium_vivax_Sal-1 | gene_product=t-SNARE, putative | transcript_product=t-SNARE, putative | location=Pv_Sal1_chr14:2599747-2600739(+) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082530.1-p1      -            281 10503at5820          -            265   7.1e-06   23.9   0.9   1   2     0.033        46    1.6   0.4    98   148    35    84    23   114 0.74 | transcript=PVX_082530.1 | gene=PVX_082530 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin 5, putative | transcript_product=syntaxin 5, putative | location=Pv_Sal1_chr12:851219-852795(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082530.1-p1      -            281 10503at5820          -            265   7.1e-06   23.9   0.9   2   2   5.1e-09   7.1e-06   23.9   0.9   176   261   193   279   180   281 0.84 | transcript=PVX_082530.1 | gene=PVX_082530 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin 5, putative | transcript_product=syntaxin 5, putative | location=Pv_Sal1_chr12:851219-852795(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117855.1-p1      -            212 10503at5820          -            265   0.00014   19.7   4.6   1   2      0.03        41    1.8   3.1   149   189    40    81    18   105 0.71 | transcript=PVX_117855.1 | gene=PVX_117855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2200864-2202623(+) | protein_length=212 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117855.1-p1      -            212 10503at5820          -            265   0.00014   19.7   4.6   2   2     1e-07   0.00014   19.7   4.6   168   261   116   211    86   212 0.77 | transcript=PVX_117855.1 | gene=PVX_117855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2200864-2202623(+) | protein_length=212 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090885.1-p1      -            362 10503at5820          -            265   0.00017   19.4   5.7   1   2     0.022        30    2.2   8.7    63   167    26   132     9   157 0.66 | transcript=PVX_090885.1 | gene=PVX_090885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:65716-67473(-) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090885.1-p1      -            362 10503at5820          -            265   0.00017   19.4   5.7   2   2   1.2e-07   0.00017   19.4   5.7   172   259   268   355   253   360 0.79 | transcript=PVX_090885.1 | gene=PVX_090885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:65716-67473(-) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10503at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10503at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10503at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:28 2026
# [ok]
