#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094615.1-p1      -            447 6609at5820           -            438  6.5e-302  999.1   7.1   1   1  2.8e-304  7.3e-302  998.9   7.1     1   438     1   447     1   447 0.99 | transcript=PVX_094615.1 | gene=PVX_094615 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=Pv_Sal1_chr08:393308-394940(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089640.1-p1      -            392 6609at5820           -            438  1.5e-126  421.2   3.3   1   1  7.5e-129    2e-126  420.8   3.3    62   419    15   374     6   384 0.95 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 6609at5820           -            438    3e-117  390.5   0.0   1   2     2e-69   5.2e-67  225.0   0.1   176   410   200   431   184   442 0.93 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 6609at5820           -            438    3e-117  390.5   0.0   2   2   1.1e-50   2.9e-48  163.2   0.0   172   407   469   704   437   717 0.93 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 6609at5820           -            438  8.4e-111  369.3   3.1   1   1  4.1e-113  1.1e-110  368.9   3.1    96   427    81   411    16   417 0.89 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 6609at5820           -            438    2e-104  348.2   0.2   1   2   3.7e-57   9.6e-55  184.6   0.2   181   408   474   698   465   707 0.96 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 6609at5820           -            438    2e-104  348.2   0.2   2   2   3.9e-50     1e-47  161.4   0.0   177   409   790  1020   779  1031 0.94 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 6609at5820           -            438  1.5e-100  335.5   1.1   1   2      0.63   1.7e+02   -0.8   1.1    58    97    25    66    14    88 0.66 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 6609at5820           -            438  1.5e-100  335.5   1.1   2   2  5.8e-103  1.5e-100  335.5   1.1    90   430    93   435    65   439 0.94 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122410.1-p1      -            420 6609at5820           -            438   5.1e-96  320.6   0.4   1   1   2.4e-98   6.2e-96  320.3   0.4   120   437    99   416    73   417 0.91 | transcript=PVX_122410.1 | gene=PVX_122410 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=Pv_Sal1_chr14:539131-540623(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 6609at5820           -            438   1.5e-95  319.1   3.5   1   1   6.8e-98   1.8e-95  318.8   3.5    86   429    30   383     3   389 0.88 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
