#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   1  15   1.1e-10   3.1e-07   26.9   0.0     1    50     1    63     1    72 0.77 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   2  15   9.3e-86   2.6e-82  275.5   6.2    50   238   179   387   155   390 0.86 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   3  15   4.3e-23   1.2e-19   68.0   0.0   232   293   444   512   440   516 0.86 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   4  15   0.00011      0.31    7.0   0.0   296   328   554   587   548   593 0.86 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   5  15   1.1e-21   2.9e-18   63.4   0.0   321   393   604   678   595   684 0.88 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   6  15     5e-06     0.014   11.5   0.0   388   409   708   729   701   730 0.91 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   7  15   2.7e-05     0.073    9.1   0.0   430   450   860   880   852   887 0.86 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   8  15   8.2e-16   2.3e-12   43.9   0.0   434   494   901   964   884   969 0.85 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8   9  15   5.4e-33   1.5e-29  100.8   1.6   493   573   992  1079   988  1087 0.89 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8  10  15   2.1e-17   5.9e-14   49.1   0.0   571   658  1118  1233  1115  1242 0.78 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8  11  15   2.2e-40     6e-37  125.3   7.4   636   734  1268  1368  1243  1375 0.92 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8  12  15   5.9e-28   1.6e-24   84.1   2.7   736   806  1405  1482  1399  1486 0.91 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8  13  15   9.8e-11   2.7e-07   27.1   0.0   806   856  1547  1599  1544  1604 0.91 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8  14  15   1.2e-17   3.4e-14   49.9   0.1   861   907  1663  1709  1651  1730 0.90 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116885.1-p1      -           2002 821at5820            -           1086         0 1128.1  77.8  15  15   2.2e-65   6.2e-62  208.0  13.6   918  1085  1813  1992  1801  1993 0.92 | transcript=PVX_116885.1 | gene=PVX_116885 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1358328-1364614(+) | protein_length=2002 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123015.1-p1      -             91 821at5820            -           1086     0.037   10.1   0.2   1   1   1.4e-05     0.039   10.0   0.2   375   433     4    62     1    72 0.86 | transcript=PVX_123015.1 | gene=PVX_123015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:1075508-1075835(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/821at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/821at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/821at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:29 2026
# [ok]
