#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084620.1-p1      -            381 7279at5820           -            532         0 1121.8  36.0   1   3  1.5e-111  6.9e-109  362.7   6.7   229   379     1   151     1   151 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 7279at5820           -            532         0 1121.8  36.0   2   3  5.5e-122  2.5e-119  397.1   7.0   215   379   139   303   139   303 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 7279at5820           -            532         0 1121.8  36.0   3   3  1.3e-119  5.9e-117  389.3   6.4   219   379   219   379   219   381 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 7279at5820           -            532   6.8e-46  154.8   0.0   1   1   1.5e-48   6.9e-46  154.8   0.0   305   380     1    76     1   113 0.91 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122475.1-p1      -             76 7279at5820           -            532   3.4e-22   76.6   0.1   1   1   7.9e-25   3.6e-22   76.5   0.1   305   379     1    75     1    76 0.68 | transcript=PVX_122475.1 | gene=PVX_122475 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr14:603605-604122(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 7279at5820           -            532   5.9e-09   32.9   0.0   1   1   1.6e-11   7.4e-09   32.6   0.0   310   374     8    72     1    95 0.49 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 7279at5820           -            532   6.3e-09   32.8   0.2   1   1     2e-11   9.3e-09   32.3   0.2   152   224     6    78     1    83 0.32 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086305.1-p1      -            149 7279at5820           -            532   4.6e-08   30.0   0.1   1   1   1.1e-10   5.3e-08   29.8   0.1    77   152     1    76     1    94 0.38 | transcript=PVX_086305.1 | gene=PVX_086305 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-40S ribosomal protein S27a, putative | transcript_product=ubiquitin-40S ribosomal protein S27a, putative | location=Pv_Sal1_chr13:1992584-1994140(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094805.1-p1      -            406 7279at5820           -            532   1.1e-05   22.2   0.3   1   1   2.8e-08   1.3e-05   21.9   0.3   305   374     1    69     1   139 0.54 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100840.1-p1      -             73 7279at5820           -            532   0.00033   17.3   0.1   1   1   7.1e-07   0.00033   17.3   0.1   160   219     9    68     1    73 0.33 | transcript=PVX_100840.1 | gene=PVX_100840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like modifier HUB1, putative | transcript_product=ubiquitin-like modifier HUB1, putative | location=Pv_Sal1_chr14:2418700-2419022(+) | protein_length=73 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122560.1-p1      -            190 7279at5820           -            532   0.00093   15.8   0.1   1   1   2.5e-06    0.0011   15.5   0.1   412   522    58   172    30   179 0.48 | transcript=PVX_122560.1 | gene=PVX_122560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr14:683320-684045(-) | protein_length=190 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
