#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086025.1-p1      -           1103 1979at5820           -            957         0 1944.9 105.8   1   4         0         0 1500.0  60.1     1   694     1   715     1   722 0.98 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 1979at5820           -            957         0 1944.9 105.8   2   4   1.2e-87   2.1e-84  282.4  19.0   692   842   738   917   732   925 0.97 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 1979at5820           -            957         0 1944.9 105.8   3   4   1.3e-27   2.4e-24   83.7   3.9   835   898   935   998   917  1002 0.90 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 1979at5820           -            957         0 1944.9 105.8   4   4     3e-31   5.6e-28   95.7   1.0   888   957  1030  1103  1013  1103 0.89 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 1979at5820           -            957   2.5e-48  163.1  22.4   1   3   6.8e-11   1.2e-07   28.4   0.1    21    77     4    61     2    94 0.88 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 1979at5820           -            957   2.5e-48  163.1  22.4   2   3   2.6e-10   4.7e-07   26.4   3.6   180   309   260   400   247   412 0.77 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 1979at5820           -            957   2.5e-48  163.1  22.4   3   3   2.3e-37   4.3e-34  115.9   7.2   475   744   713   977   604   996 0.89 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 1979at5820           -            957   4.4e-23   79.5  45.3   1   6      0.38     7e+02   -3.9   0.0    25    51     8    34     7    36 0.89 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 1979at5820           -            957   4.4e-23   79.5  45.3   2   6   7.4e-06     0.014   11.7   0.3   112   189   227   301   215   309 0.73 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 1979at5820           -            957   4.4e-23   79.5  45.3   3   6   2.1e-13   3.9e-10   36.6   2.3   212   288   362   438   350   468 0.89 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 1979at5820           -            957   4.4e-23   79.5  45.3   4   6   2.3e-10   4.3e-07   26.6   5.1   475   671   664   894   649   898 0.70 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
