#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115065.1-p1      -            483 5836at5820           -            442         0 1023.0  13.9   1   1         0         0 1022.2  13.9     1   442     1   454     1   454 0.98 | transcript=PVX_115065.1 | gene=PVX_115065 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=Pv_Sal1_chr11:350090-351541(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090975.1-p1      -            475 5836at5820           -            442  7.7e-103  342.7   7.7   1   1    2e-105  1.1e-102  342.2   7.7    11   436    15   474     6   475 0.88 | transcript=PVX_090975.1 | gene=PVX_090975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=Pv_Sal1_chr09:144277-145704(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123295.1-p1      -            583 5836at5820           -            442   3.6e-99  330.6  16.7   1   2    0.0059       3.3    4.5   0.0    10    27    48    65    40    77 0.83 | transcript=PVX_123295.1 | gene=PVX_123295 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=Pv_Sal1_chr14:1310622-1313118(+) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123295.1-p1      -            583 5836at5820           -            442   3.6e-99  330.6  16.7   2   2  1.2e-100   6.8e-98  326.4  14.3    33   437   167   583   160   583 0.91 | transcript=PVX_123295.1 | gene=PVX_123295 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=Pv_Sal1_chr14:1310622-1313118(+) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 5836at5820           -            442   0.00018   18.5   0.2   1   3      0.52   2.9e+02   -1.9   0.2   231   269    40    79    10    89 0.69 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 5836at5820           -            442   0.00018   18.5   0.2   2   3   6.3e-05     0.035   11.0   0.0    64   116   242   293   234   312 0.85 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 5836at5820           -            442   0.00018   18.5   0.2   3   3    0.0073       4.1    4.2   0.0    62   112   513   561   505   571 0.81 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5836at5820           -            442   0.00043   17.3   0.1   1   2   0.00017     0.094    9.6   0.0    62   116   509   562   501   580 0.76 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5836at5820           -            442   0.00043   17.3   0.1   2   2    0.0048       2.6    4.8   0.0    64   111   831   876   824   887 0.82 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 5836at5820           -            442    0.0006   16.8   1.3   1   3     3e-06    0.0017   15.3   0.1    62   102   282   320   273   341 0.83 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 5836at5820           -            442    0.0006   16.8   1.3   2   3      0.28   1.5e+02   -1.0   0.0   277   359   342   432   326   449 0.68 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
