#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084505.1-p1      -           1005 3536at5820           -            688         0 1156.7 106.1   1   5   8.8e-18   1.2e-14   51.9   3.2    18    69    67   121    54   124 0.85 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3536at5820           -            688         0 1156.7 106.1   2   5     6e-40   8.3e-37  125.2  13.1    72   181   229   346   223   352 0.92 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3536at5820           -            688         0 1156.7 106.1   3   5   6.4e-14   8.8e-11   39.2  16.8   177   223   382   428   378   437 0.86 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3536at5820           -            688         0 1156.7 106.1   4   5   0.00075         1    5.9   1.8   200   234   432   465   424   468 0.74 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3536at5820           -            688         0 1156.7 106.1   5   5  1.7e-291  2.3e-288  956.6  43.3   231   688   536  1001   527  1001 0.98 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3536at5820           -            688   2.7e-55  186.3  79.6   1   2         4   5.5e+03   -7.2  16.3    65   168   421   526   358   549 0.68 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3536at5820           -            688   2.7e-55  186.3  79.6   2   2     6e-58   8.3e-55  184.7  68.4    97   675   488  1130   485  1148 0.68 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3536at5820           -            688   5.6e-48  162.1  20.5   1   3     0.011        15    2.0   0.9   312   351    29    73     4    77 0.68 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3536at5820           -            688   5.6e-48  162.1  20.5   2   3         4   5.5e+03   -6.5  30.6   105   331   129   365   121   379 0.70 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3536at5820           -            688   5.6e-48  162.1  20.5   3   3     4e-51   5.6e-48  162.1  20.5   376   676   459   753   453   762 0.92 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 3536at5820           -            688   8.3e-38  128.5  67.2   1   2   1.8e-40   2.5e-37  126.9  57.1    98   607    91   630    66   676 0.69 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
