#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098070.1-p1      -            737 3977at5820           -            569         0 1146.8  48.5   1   3    0.0065       2.8    4.6   0.1     1    16    21    36    21    40 0.91 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 3977at5820           -            569         0 1146.8  48.5   2   3  5.6e-110  2.4e-107  358.1   7.3    13   198   105   298    94   304 0.95 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 3977at5820           -            569         0 1146.8  48.5   3   3  1.3e-239  5.5e-237  786.1  28.7   198   569   343   735   341   735 0.96 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079815.1-p1      -            203 3977at5820           -            569   7.1e-44  148.5   0.5   1   1     2e-46   8.4e-44  148.3   0.5   399   566    28   195    19   198 0.95 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091445.1-p1      -            167 3977at5820           -            569   6.7e-40  135.4   0.6   1   1   1.8e-42   7.5e-40  135.2   0.6   420   567     4   152     1   154 0.96 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095135.1-p1      -            170 3977at5820           -            569   3.5e-38  129.7   0.5   1   1   9.5e-41     4e-38  129.5   0.5   425   549    17   150     4   160 0.84 | transcript=PVX_095135.1 | gene=PVX_095135 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr08:820773-821285(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_220290-t26_1-p1  -            217 3977at5820           -            569   6.7e-38  128.8   0.4   1   1   1.9e-40   7.9e-38  128.5   0.4   425   549    17   150     4   161 0.84 | transcript=PVX_220290-t26_1 | gene=PVX_220290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000961:234-887(-) | protein_length=217 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091425.1-p1      -            193 3977at5820           -            569   1.1e-34  118.2   0.7   1   1     3e-37   1.3e-34  117.9   0.7   413   554    30   178    15   188 0.87 | transcript=PVX_091425.1 | gene=PVX_091425 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=Pv_Sal1_chr09:506146-507236(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093520.1-p1      -            262 3977at5820           -            569   1.6e-30  104.4   1.5   1   1   6.3e-33   2.7e-30  103.7   1.5   425   551   106   242    77   259 0.86 | transcript=PVX_093520.1 | gene=PVX_093520 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:592578-593366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085320.1-p1      -            456 3977at5820           -            569   2.1e-26   90.8   0.3   1   1   6.6e-29   2.8e-26   90.4   0.3   419   563    15   162     2   169 0.90 | transcript=PVX_085320.1 | gene=PVX_085320 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:1100742-1103354(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084165.1-p1      -            226 3977at5820           -            569   3.6e-22   76.8   0.5   1   1   9.7e-25   4.1e-22   76.6   0.5   451   566    55   170    10   173 0.83 | transcript=PVX_084165.1 | gene=PVX_084165 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:59247-60936(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
