#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084490.1-p1      -            107 14505at5820          -             90     7e-54  178.4   1.5   1   1   1.6e-56   1.1e-53  177.7   1.5     5    90    11   103     1   103 0.92 | transcript=PVX_084490.1 | gene=PVX_084490 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=Pv_Sal1_chr13:360441-361222(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089250.1-p1      -             83 14505at5820          -             90   2.1e-13   48.6   0.1   1   1   3.6e-16   2.5e-13   48.4   0.1    12    76    12    74     6    81 0.90 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118325.1-p1      -            101 14505at5820          -             90   1.9e-07   29.5   0.1   1   1   3.2e-10   2.2e-07   29.4   0.1    14    78    16    82     1    88 0.81 | transcript=PVX_118325.1 | gene=PVX_118325 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=Pv_Sal1_chr12:2603522-2604198(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083405.1-p1      -             94 14505at5820          -             90   1.9e-05   23.2   0.2   1   1   3.5e-08   2.4e-05   22.8   0.2    13    79    18    88     4    94 0.79 | transcript=PVX_083405.1 | gene=PVX_083405 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=Pv_Sal1_chr12:148064-148815(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088885.1-p1      -             95 14505at5820          -             90   2.5e-05   22.8   0.2   1   1   4.1e-08   2.8e-05   22.6   0.2    13    80     5    73     1    81 0.89 | transcript=PVX_088885.1 | gene=PVX_088885 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=Pv_Sal1_chr05:133974-134790(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 14505at5820          -             90   3.2e-05   22.4   0.3   1   2   1.4e-07   9.4e-05   20.9   0.2    15    77     8    77     4    90 0.80 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 14505at5820          -             90   3.2e-05   22.4   0.3   2   2       1.5   1.1e+03   -1.7   0.0    58    77   122   141    95   146 0.76 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089370.1-p1      -             91 14505at5820          -             90   0.00023   19.7   0.2   1   1   9.3e-07   0.00064   18.2   0.2    14    77    14    87     7    90 0.77 | transcript=PVX_089370.1 | gene=PVX_089370 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=Pv_Sal1_chr05:503744-504583(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091960.1-p1      -             86 14505at5820          -             90     0.003   16.1   0.0   1   1   4.7e-06    0.0032   16.0   0.0    20    76    20    75     8    84 0.79 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14505at5820.hmm
