#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083080.1-p1      -            712 3431at5820           -            582         0 1214.4  56.1   1   3   4.7e-18   5.1e-15   53.3  23.2     1    70     7   100     7   109 0.76 | transcript=PVX_083080.1 | gene=PVX_083080 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch protein K13, putative | transcript_product=kelch protein K13, putative | location=Pv_Sal1_chr12:447729-449867(+) | protein_length=712 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083080.1-p1      -            712 3431at5820           -            582         0 1214.4  56.1   2   3     0.009       9.9    2.8   1.3    56    78   107   129   101   142 0.74 | transcript=PVX_083080.1 | gene=PVX_083080 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch protein K13, putative | transcript_product=kelch protein K13, putative | location=Pv_Sal1_chr12:447729-449867(+) | protein_length=712 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083080.1-p1      -            712 3431at5820           -            582         0 1214.4  56.1   3   3         0         0 1166.5  19.8    36   581   146   711   126   712 0.94 | transcript=PVX_083080.1 | gene=PVX_083080 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch protein K13, putative | transcript_product=kelch protein K13, putative | location=Pv_Sal1_chr12:447729-449867(+) | protein_length=712 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096105.1-p1      -            410 3431at5820           -            582   2.3e-24   84.2   0.1   1   2   8.3e-17   9.1e-14   49.2   0.0   409   518   172   282   160   297 0.87 | transcript=PVX_096105.1 | gene=PVX_096105 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr03:770604-772310(-) | protein_length=410 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096105.1-p1      -            410 3431at5820           -            582   2.3e-24   84.2   0.1   2   2   6.1e-12   6.8e-09   33.1   0.0   433   540   298   405   282   408 0.86 | transcript=PVX_096105.1 | gene=PVX_096105 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr03:770604-772310(-) | protein_length=410 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 3431at5820           -            582   7.3e-20   69.3   9.9   1   3   7.7e-11   8.6e-08   29.5   0.3   398   489    76   172    69   182 0.88 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 3431at5820           -            582   7.3e-20   69.3   9.9   2   3   5.8e-10   6.4e-07   26.6   0.1   413   503   198   292   193   311 0.88 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117450.1-p1      -            644 3431at5820           -            582   7.3e-20   69.3   9.9   3   3   2.3e-07   0.00026   18.0   0.7   410   513   351   458   337   463 0.78 | transcript=PVX_117450.1 | gene=PVX_117450 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr12:1882118-1884052(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100885.1-p1      -            423 3431at5820           -            582   2.4e-05   21.4   0.5   1   1   3.6e-08     4e-05   20.7   0.2   223   313     4    98     2   115 0.80 | transcript=PVX_100885.1 | gene=PVX_100885 | organism=Plasmodium_vivax_Sal-1 | gene_product=K+ channel tetramerisation domain containing protein | transcript_product=K+ channel tetramerisation domain containing protein | location=Pv_Sal1_chr14:2451212-2453171(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097860.1-p1      -            206 3431at5820           -            582      0.13    9.1   9.1   1   1   0.00013      0.14    8.9   9.1   119   205    37   133    19   168 0.74 | transcript=PVX_097860.1 | gene=PVX_097860 | organism=Plasmodium_vivax_Sal-1 | gene_product=60S ribosomal subunit protein L24, putative | transcript_product=60S ribosomal subunit protein L24, putative | location=Pv_Sal1_chr10:1086639-1087550(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3431at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3431at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3431at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:48 2026
# [ok]
