#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   1  11   3.3e-49   9.1e-46  155.0   2.1     2    91    70   161    69   162 0.95 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   2  11   2.8e-28   7.8e-25   85.8   1.0    71   146   238   313   229   324 0.87 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   3  11   2.2e-60   6.2e-57  191.9  11.0   145   308   378   559   365   584 0.82 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   4  11    0.0024       6.7    3.4   1.9   294   331   631   668   622   685 0.82 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   5  11    0.0008       2.2    5.0   0.0   319   356   762   800   738   803 0.81 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   6  11   1.7e-61   4.7e-58  195.6   8.1   351   472   992  1115   983  1119 0.95 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   7  11   3.3e-46     9e-43  145.1   0.2   471   553  1157  1239  1153  1253 0.89 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   8  11      0.01        28    1.3   0.0   539   560  1291  1312  1285  1327 0.77 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8   9  11   6.6e-22   1.8e-18   64.7   0.0   553   603  1389  1439  1375  1443 0.91 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8  10  11   4.2e-31   1.1e-27   95.2   0.1   603   652  1486  1535  1480  1542 0.95 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093655.1-p1      -           1629 2109at5820           -            700  4.2e-298  989.0  77.8  11  11   1.3e-26   3.7e-23   80.3   0.4   651   699  1567  1615  1561  1616 0.94 | transcript=PVX_093655.1 | gene=PVX_093655 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=Pv_Sal1_chr01:739262-744424(-) | protein_length=1629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100650.1-p1      -           1070 2109at5820           -            700     0.027   11.3  26.4   1   3         2   5.5e+03   -6.4  14.8   273   391   768   889   765   899 0.51 | transcript=PVX_100650.1 | gene=PVX_100650 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=Pv_Sal1_chr14:2260793-2264349(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100650.1-p1      -           1070 2109at5820           -            700     0.027   11.3  26.4   2   3   7.7e-07    0.0021   14.9   7.2   444   545   869   975   856  1003 0.76 | transcript=PVX_100650.1 | gene=PVX_100650 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=Pv_Sal1_chr14:2260793-2264349(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100650.1-p1      -           1070 2109at5820           -            700     0.027   11.3  26.4   3   3   0.00076       2.1    5.0   0.0   615   639  1019  1043  1015  1054 0.89 | transcript=PVX_100650.1 | gene=PVX_100650 | organism=Plasmodium_vivax_Sal-1 | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=Pv_Sal1_chr14:2260793-2264349(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2109at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:03 2026
# [ok]
