#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   1   8  5.6e-101   7.8e-98  326.9   0.4     1   158     1   158     1   178 0.96 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   2   8   1.2e-21   1.7e-18   64.5   0.6   154   206   206   259   204   267 0.94 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   3   8   3.7e-30   5.1e-27   92.7   0.2   207   269   324   386   319   397 0.93 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   4   8   5.9e-86   8.2e-83  277.2  20.9   264   426   465   636   457   648 0.91 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   5   8   4.4e-08     6e-05   19.7   0.2   414   442   721   749   714   770 0.89 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   6   8   7.8e-05      0.11    8.9   0.0   434   483   959  1019   953  1026 0.80 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   7   8  5.6e-182  7.7e-179  594.9  17.6   480   771  1097  1396  1091  1401 0.96 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 1791at5820           -            805         0 1396.9  75.7   8   8   7.5e-13     1e-09   35.5   0.1   770   805  1430  1465  1425  1465 0.94 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000820.1-p1      -            623 1791at5820           -            805   1.1e-32  111.4  19.4   1   4    0.0059       8.1    2.7   0.0     1    41     1    45     1    59 0.79 | transcript=PVX_000820.1 | gene=PVX_000820 | organism=Plasmodium_vivax_Sal-1 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=Pv_Sal1_chr03:277813-279684(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000820.1-p1      -            623 1791at5820           -            805   1.1e-32  111.4  19.4   2   4   1.8e-09   2.5e-06   24.3   0.0    80   135    63   118    46   120 0.89 | transcript=PVX_000820.1 | gene=PVX_000820 | organism=Plasmodium_vivax_Sal-1 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=Pv_Sal1_chr03:277813-279684(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000820.1-p1      -            623 1791at5820           -            805   1.1e-32  111.4  19.4   3   4   1.5e-24   2.1e-21   74.2   5.4   495   639   117   274   114   283 0.79 | transcript=PVX_000820.1 | gene=PVX_000820 | organism=Plasmodium_vivax_Sal-1 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=Pv_Sal1_chr03:277813-279684(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
