#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   1   7     2e-99   3.6e-96  321.7   0.0    21   215   219   419   213   435 0.95 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   2   7   1.1e-19   2.1e-16   58.0   0.0   228   280   507   560   496   574 0.93 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   3   7       0.1   1.9e+02   -1.3   0.0   278   294   583   599   578   603 0.79 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   4   7   7.9e-30   1.5e-26   91.6   0.0   293   366   658   741   652   744 0.87 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   5   7   3.3e-50   6.2e-47  158.9   0.1   368   466   780   879   776   882 0.97 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   6   7   2.2e-61   4.1e-58  195.9   0.8   466   610   917  1084   915  1088 0.86 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 2069at5820           -            719  1.6e-277  921.2   4.4   7   7   4.3e-27   7.9e-24   82.5   0.0   612   713  1117  1256  1113  1259 0.79 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 2069at5820           -            719     4e-40  136.4  14.4   1   4   2.1e-22   3.8e-19   67.1   2.9    13   218    16   237     7   264 0.81 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 2069at5820           -            719     4e-40  136.4  14.4   2   4   1.8e-09   3.3e-06   24.3   0.1   308   366   412   477   404   493 0.80 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 2069at5820           -            719     4e-40  136.4  14.4   3   4   6.9e-16   1.3e-12   45.5   0.0   373   491   513   626   505   639 0.79 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 2069at5820           -            719     4e-40  136.4  14.4   4   4    0.0018       3.4    4.4   0.2   494   549   666   721   652   792 0.76 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
