#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   1   8   2.6e-50   7.1e-47  158.4   8.4     2   124    34   170    33   178 0.90 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   2   8   1.1e-18   2.9e-15   53.9   0.0   124   165   203   244   199   251 0.94 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   3   8     2e-15   5.5e-12   43.1   0.5   164   215   274   334   266   339 0.85 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   4   8   4.7e-47   1.3e-43  147.6   9.6   209   299   463   553   446   556 0.92 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   5   8   2.1e-54   5.7e-51  171.9   2.5   300   401   587   695   584   699 0.93 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   6   8   9.2e-47   2.5e-43  146.6   2.8   398   482   864   948   847   955 0.92 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   7   8   3.6e-51     1e-47  161.2   0.0   481   582   976  1080   972  1084 0.95 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 3333at5820           -            635  1.8e-284  943.3  57.0   8   8   4.1e-27   1.1e-23   81.7   0.0   574   634  1110  1169  1106  1170 0.93 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 3333at5820           -            635   7.6e-18   62.4  22.0   1   5   0.00032      0.89    6.1   0.0    25    48    75    98    58   106 0.85 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 3333at5820           -            635   7.6e-18   62.4  22.0   2   5   9.2e-20   2.6e-16   57.4  11.6   233   384   162   331   154   364 0.75 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 3333at5820           -            635   7.6e-18   62.4  22.0   3   5     0.002       5.6    3.4   0.0   448   484   501   537   484   558 0.81 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
