#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090975.1-p1      -            475 5583at5820           -            436  1.6e-287  951.7  14.3   1   1  2.3e-290  1.8e-287  951.5  14.3     1   434    15   473    15   475 0.97 | transcript=PVX_090975.1 | gene=PVX_090975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=Pv_Sal1_chr09:144277-145704(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123295.1-p1      -            583 5583at5820           -            436  2.4e-130  433.7  21.0   1   2    0.0012      0.93    6.7   0.0     2    23    50    71    49    86 0.82 | transcript=PVX_123295.1 | gene=PVX_123295 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=Pv_Sal1_chr14:1310622-1313118(+) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123295.1-p1      -            583 5583at5820           -            436  2.4e-130  433.7  21.0   2   2  5.4e-131  4.3e-128  426.3  19.7    28   427   167   570   145   577 0.91 | transcript=PVX_123295.1 | gene=PVX_123295 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=Pv_Sal1_chr14:1310622-1313118(+) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115065.1-p1      -            483 5583at5820           -            436  2.4e-101  338.2   6.3   1   1  3.9e-104    3e-101  337.9   6.3     1   429    11   438    11   445 0.91 | transcript=PVX_115065.1 | gene=PVX_115065 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=Pv_Sal1_chr11:350090-351541(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 5583at5820           -            436   0.00046   17.6   0.1   1   2     0.021        17    2.6   0.0    59    84   384   409   364   430 0.85 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 5583at5820           -            436   0.00046   17.6   0.1   2   2   2.1e-05     0.016   12.5   0.0    58   113   813   867   802   882 0.87 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 5583at5820           -            436    0.0017   15.8   0.0   1   1   3.3e-06    0.0026   15.1   0.0    11   100   104   191    95   213 0.72 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 5583at5820           -            436     0.012   12.9   0.0   1   1   2.7e-05     0.022   12.1   0.0    58    96   194   230   167   256 0.79 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5583at5820           -            436     0.016   12.6   0.5   1   2    0.0079       6.2    4.0   0.2    57   113   509   564   502   583 0.84 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5583at5820           -            436     0.016   12.6   0.5   2   2    0.0014       1.1    6.5   0.0    58    98   830   868   820   963 0.77 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5583at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5583at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5583at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:23 2026
# [ok]
