#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094855.1-p1      -           1467 2246at5820           -            702         0 1188.3  96.2   1   7   8.5e-23   2.3e-19   67.4   0.0     1    48     1    48     1    56 0.94 | transcript=PVX_094855.1 | gene=PVX_094855 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr08:573474-578294(+) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094855.1-p1      -           1467 2246at5820           -            702         0 1188.3  96.2   2   7     5e-88   1.4e-84  283.0  15.0    41   211   176   351   172   356 0.96 | transcript=PVX_094855.1 | gene=PVX_094855 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr08:573474-578294(+) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094855.1-p1      -           1467 2246at5820           -            702         0 1188.3  96.2   3   7  1.7e-144  4.6e-141  469.7  19.9   218   434   470   686   451   699 0.96 | transcript=PVX_094855.1 | gene=PVX_094855 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr08:573474-578294(+) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094855.1-p1      -           1467 2246at5820           -            702         0 1188.3  96.2   4   7   7.1e-06      0.02   11.5   1.3   441   463   815   837   812   848 0.85 | transcript=PVX_094855.1 | gene=PVX_094855 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr08:573474-578294(+) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094855.1-p1      -           1467 2246at5820           -            702         0 1188.3  96.2   5   7   9.7e-15   2.7e-11   40.8   2.3   406   501  1023  1123   999  1133 0.69 | transcript=PVX_094855.1 | gene=PVX_094855 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr08:573474-578294(+) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094855.1-p1      -           1467 2246at5820           -            702         0 1188.3  96.2   6   7      0.16   4.5e+02   -3.0   1.1   500   521  1221  1246  1219  1252 0.74 | transcript=PVX_094855.1 | gene=PVX_094855 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr08:573474-578294(+) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094855.1-p1      -           1467 2246at5820           -            702         0 1188.3  96.2   7   7  2.9e-107  8.1e-104  346.6  17.4   519   702  1279  1462  1268  1462 0.97 | transcript=PVX_094855.1 | gene=PVX_094855 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr08:573474-578294(+) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114760.1-p1      -           1544 2246at5820           -            702   7.3e-12   42.6   3.7   1   4      0.64   1.8e+03   -4.9   2.6   497   529   484   514   457   537 0.60 | transcript=PVX_114760.1 | gene=PVX_114760 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr11:655952-660586(+) | protein_length=1544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114760.1-p1      -           1544 2246at5820           -            702   7.3e-12   42.6   3.7   2   4   0.00016      0.45    7.0   0.0   172   193  1069  1090  1056  1104 0.80 | transcript=PVX_114760.1 | gene=PVX_114760 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr11:655952-660586(+) | protein_length=1544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114760.1-p1      -           1544 2246at5820           -            702   7.3e-12   42.6   3.7   3   4   2.6e-15   7.3e-12   42.6   3.7   284   386  1121  1228  1113  1262 0.82 | transcript=PVX_114760.1 | gene=PVX_114760 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr11:655952-660586(+) | protein_length=1544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114760.1-p1      -           1544 2246at5820           -            702   7.3e-12   42.6   3.7   4   4     0.026        73   -0.3   0.8   539   571  1247  1279  1236  1398 0.48 | transcript=PVX_114760.1 | gene=PVX_114760 | organism=Plasmodium_vivax_Sal-1 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=Pv_Sal1_chr11:655952-660586(+) | protein_length=1544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
