#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080265.1-p1      -            739 6067at5820           -            491  5.5e-206  683.5  59.9   1   5  2.7e-165    3e-162  539.2  21.9     2   383    19   439    18   443 0.82 | transcript=PVX_080265.1 | gene=PVX_080265 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:524991-527210(-) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080265.1-p1      -            739 6067at5820           -            491  5.5e-206  683.5  59.9   2   5         5   5.5e+03   -8.2  17.7   324   374   433   486   429   501 0.55 | transcript=PVX_080265.1 | gene=PVX_080265 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:524991-527210(-) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080265.1-p1      -            739 6067at5820           -            491  5.5e-206  683.5  59.9   3   5   2.8e-15   3.1e-12   44.4   4.0   328   408   496   578   491   584 0.86 | transcript=PVX_080265.1 | gene=PVX_080265 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:524991-527210(-) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080265.1-p1      -            739 6067at5820           -            491  5.5e-206  683.5  59.9   4   5   5.8e-11   6.4e-08   30.2   0.0   400   440   611   651   602   655 0.89 | transcript=PVX_080265.1 | gene=PVX_080265 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:524991-527210(-) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080265.1-p1      -            739 6067at5820           -            491  5.5e-206  683.5  59.9   5   5   2.8e-29   3.1e-26   90.6   0.4   442   491   690   739   686   739 0.96 | transcript=PVX_080265.1 | gene=PVX_080265 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:524991-527210(-) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087060.1-p1      -            208 6067at5820           -            491     0.071   10.2   8.2   1   1   8.2e-05     0.091    9.9   8.2   318   454    65   202    56   205 0.59 | transcript=PVX_087060.1 | gene=PVX_087060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1268595-1269221(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086225.1-p1      -            132 6067at5820           -            491      0.92    6.6  11.7   1   1   0.00098       1.1    6.3  11.7   314   400    18   102     3   124 0.47 | transcript=PVX_086225.1 | gene=PVX_086225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1932389-1932922(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 6067at5820           -            491       1.3    6.1  14.3   1   1    0.0015       1.6    5.8  14.3   307   390    35   118    29   135 0.59 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 6067at5820           -            491       5.3    4.1  17.4   1   1    0.0082       9.1    3.3  17.4   319   401    40   132    27   185 0.39 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6067at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:01 2026
# [ok]
