#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082355.1-p1      -            270 9338at5820           -            247  1.3e-161  533.9   1.1   1   1    2e-164  1.4e-161  533.8   1.1     1   247     1   261     1   261 0.97 | transcript=PVX_082355.1 | gene=PVX_082355 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=Pv_Sal1_chr12:996702-997514(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094790.1-p1      -            273 9338at5820           -            247     2e-24   84.6   0.5   1   1   3.8e-27   2.6e-24   84.2   0.5    32   218    58   245    37   263 0.91 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 9338at5820           -            247   1.8e-20   71.6   0.9   1   2   1.9e-10   1.3e-07   29.5   0.1    36    98    28    90    15   106 0.85 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 9338at5820           -            247   1.8e-20   71.6   0.9   2   2   6.2e-14   4.3e-11   40.9   0.1   117   216   162   265   123   280 0.86 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 9338at5820           -            247   5.1e-12   44.0   0.0   1   1   9.3e-15   6.4e-12   43.6   0.0    39   195    33   196    22   221 0.76 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081675.1-p1      -            256 9338at5820           -            247   8.7e-12   43.2   0.0   1   1   2.2e-14   1.5e-11   42.4   0.0    35   219    32   228    27   250 0.77 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080330.1-p1      -            241 9338at5820           -            247   1.7e-10   39.0   0.0   1   1   3.2e-13   2.2e-10   38.6   0.0    22   215    20   227     5   233 0.75 | transcript=PVX_080330.1 | gene=PVX_080330 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=Pv_Sal1_chr10:584772-586334(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116925.1-p1      -            195 9338at5820           -            247   3.7e-06   24.7   0.0   1   1   6.6e-09   4.6e-06   24.5   0.0    39   187     3   156     1   165 0.80 | transcript=PVX_116925.1 | gene=PVX_116925 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-2, putative | transcript_product=proteasome subunit beta type-2, putative | location=Pv_Sal1_chr12:1401977-1402771(-) | protein_length=195 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093555.1-p1      -            256 9338at5820           -            247   4.9e-06   24.4   0.0   1   2     0.015        11    3.6   0.0    36    88     8    60     5    95 0.80 | transcript=PVX_093555.1 | gene=PVX_093555 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=Pv_Sal1_chr01:634033-634957(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093555.1-p1      -            256 9338at5820           -            247   4.9e-06   24.4   0.0   2   2   3.7e-07   0.00026   18.7   0.0   152   223   158   230   143   248 0.87 | transcript=PVX_093555.1 | gene=PVX_093555 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=Pv_Sal1_chr01:634033-634957(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
