#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117190.1-p1      -           1449 1473at5820           -           1133         0 2015.8 142.5   1   2         0         0 1451.7 104.4     1   826     1   944     1   963 0.93 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 1473at5820           -           1133         0 2015.8 142.5   2   2  3.6e-173  6.7e-170  565.6  30.1   795  1133  1096  1449  1070  1449 0.86 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1473at5820           -           1133   2.4e-10   37.2  45.5   1   5   2.4e-12   4.5e-09   33.0  33.9   108   405   570   874   533   952 0.76 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1473at5820           -           1133   2.4e-10   37.2  45.5   2   5    0.0097        18    1.2   6.3   498   560  1050  1113  1001  1136 0.76 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1473at5820           -           1133   2.4e-10   37.2  45.5   3   5     0.052        95   -1.2   0.4   566   612  1259  1305  1234  1399 0.82 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1473at5820           -           1133   2.4e-10   37.2  45.5   4   5   1.8e-08   3.3e-05   20.2   3.7   892   979  1657  1749  1649  1794 0.79 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1473at5820           -           1133   2.4e-10   37.2  45.5   5   5     0.063   1.2e+02   -1.5   2.8   546   628  1865  1948  1836  2021 0.73 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1473at5820           -           1133   8.4e-06   22.2   4.2   1   4   4.9e-07   0.00091   15.4  36.7   277   569   548   842   338   854 0.75 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1473at5820           -           1133   8.4e-06   22.2   4.2   2   4       0.6   1.1e+03   -4.7   4.4   561   664   974  1080   958  1102 0.57 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1473at5820           -           1133   8.4e-06   22.2   4.2   3   4   4.6e-09   8.4e-06   22.2   4.2   873   957  1186  1271  1182  1302 0.86 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1473at5820           -           1133   8.4e-06   22.2   4.2   4   4       0.3   5.5e+02   -3.7  14.3   997  1133  1555  1693  1522  1693 0.71 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1473at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:17 2026
# [ok]
