#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114960.1-p1      -            203 11829at5820          -            162   3.4e-97  321.0  14.9   1   1   2.1e-99   9.8e-97  319.5  14.9     1   162    25   203    25   203 0.96 | transcript=PVX_114960.1 | gene=PVX_114960 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr11:460097-461140(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110990.1-p1      -            178 11829at5820          -            162   1.5e-11   42.5   0.8   1   1   3.8e-14   1.8e-11   42.3   0.8     4   109    19   119    16   167 0.81 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 11829at5820          -            162   9.6e-11   39.9   0.1   1   1   2.5e-13   1.2e-10   39.6   0.1     2   118    17   127    15   157 0.82 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 11829at5820          -            162     6e-08   30.8   6.1   1   1   2.3e-10     1e-07   30.0   6.1     2   131    16   140    15   181 0.69 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089930.1-p1      -            191 11829at5820          -            162   8.6e-08   30.3   0.0   1   1   2.4e-10   1.1e-07   30.0   0.0     3   113    21   127    19   157 0.79 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122360.1-p1      -            205 11829at5820          -            162   0.00021   19.3   0.4   1   1   6.4e-07   0.00029   18.8   0.4     2   146    32   175    31   193 0.67 | transcript=PVX_122360.1 | gene=PVX_122360 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=Pv_Sal1_chr14:513238-514728(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 11829at5820          -            162   0.00045   18.2   0.5   1   1   1.7e-06   0.00077   17.5   0.3     3    97     9   104     7   121 0.80 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088180.1-p1      -            201 11829at5820          -            162   0.00047   18.2   1.4   1   1   1.5e-06   0.00068   17.6   1.3     5   118    13   126     6   175 0.73 | transcript=PVX_088180.1 | gene=PVX_088180 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=Pv_Sal1_chr01:480652-481981(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 11829at5820          -            162   0.00052   18.0   0.2   1   1   1.6e-06   0.00071   17.6   0.2     3   114    12   123    10   174 0.77 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101235.1-p1      -            261 11829at5820          -            162    0.0024   15.8   0.4   1   1   8.1e-06    0.0037   15.2   0.4     5   152    66   213    61   218 0.79 | transcript=PVX_101235.1 | gene=PVX_101235 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2738495-2739776(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003600.1-p1      -            229 11829at5820          -            162    0.0039   15.1   4.4   1   2   0.00037      0.17    9.8   0.4   118   148    84   114    57   127 0.78 | transcript=PVX_003600.1 | gene=PVX_003600 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERCC1 nucleotide excision repair protein, putative | transcript_product=ERCC1 nucleotide excision repair protein, putative | location=Pv_Sal1_chr04:743854-744543(-) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
