#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   1  14   5.1e-06     0.028   10.5   0.3     1    22    22    43    22    55 0.88 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   2  14   5.1e-08   0.00028   17.2   4.5    22    57   153   194   143   207 0.78 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   3  14   1.3e-37   7.1e-34  115.1   5.6    54   145   239   331   230   339 0.89 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   4  14     1e-17   5.5e-14   49.3   6.0   129   183   372   426   352   429 0.84 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   5  14     0.031   1.7e+02   -2.0  10.0   164   267   430   537   427   570 0.71 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   6  14   1.8e-06      0.01   12.0   2.1   200   261   717   772   696   789 0.77 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   7  14     3e-19   1.6e-15   54.3   2.1   232   298   840   919   832   923 0.87 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   8  14   0.00096       5.3    3.0   0.3   295   317  1013  1035  1008  1046 0.86 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9   9  14   2.5e-59   1.4e-55  187.0  13.9   311   413  1083  1185  1064  1194 0.90 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9  10  14   7.7e-07    0.0043   13.2   1.0   415   450  1276  1312  1265  1322 0.79 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085510.1-p1      -           2081 1125at5820           -            967         0 1226.4 192.9  11  14   1.4e-25   7.8e-22   75.3   0.0   441   498  1369  1427  1364  1430 0.94 | transcript=PVX_085510.1 | gene=PVX_085510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1225139-1231835(+) | protein_length=2081 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
