#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083105.1-p1      -            928 3403at5820           -            757         0 1409.8  72.2   1   2         0         0 1037.1  31.8     3   528    20   573    18   586 0.96 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083105.1-p1      -            928 3403at5820           -            757         0 1409.8  72.2   2   2  1.4e-116  1.6e-113  378.7  32.3   522   753   617   854   611   857 0.95 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099315.1-p1      -            652 3403at5820           -            757   1.4e-41  140.8  16.5   1   2   1.5e-05     0.016   11.6   0.0     9    80    30   100    25   111 0.84 | transcript=PVX_099315.1 | gene=PVX_099315 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr07:670460-672876(+) | protein_length=652 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099315.1-p1      -            652 3403at5820           -            757   1.4e-41  140.8  16.5   2   2   6.5e-40   7.2e-37  125.2  16.3   120   645   116   626   110   632 0.84 | transcript=PVX_099315.1 | gene=PVX_099315 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr07:670460-672876(+) | protein_length=652 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089425.1-p1      -            690 3403at5820           -            757   1.4e-34  117.7   5.5   1   2   0.00013      0.14    8.6   0.0     9    85    17    92    11   101 0.88 | transcript=PVX_089425.1 | gene=PVX_089425 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock 70 kDa protein, putative | transcript_product=heat shock 70 kDa protein, putative | location=Pv_Sal1_chr05:541285-543357(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089425.1-p1      -            690 3403at5820           -            757   1.4e-34  117.7   5.5   2   2   1.5e-34   1.7e-31  107.5   4.2   177   648   153   622   109   626 0.81 | transcript=PVX_089425.1 | gene=PVX_089425 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock 70 kDa protein, putative | transcript_product=heat shock 70 kDa protein, putative | location=Pv_Sal1_chr05:541285-543357(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3403at5820           -            757   4.4e-27   92.9  40.2   1   3   7.7e-05     0.085    9.3   0.2     8    79     2    72     1    91 0.82 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3403at5820           -            757   4.4e-27   92.9  40.2   2   3     9e-21   9.9e-18   61.9   7.5   178   440   141   428   134   515 0.76 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3403at5820           -            757   4.4e-27   92.9  40.2   3   3   8.5e-11   9.4e-08   29.0  19.2   566   754   642   831   622   835 0.74 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092310.1-p1      -            663 3403at5820           -            757   8.1e-24   82.1  13.2   1   2     0.019        21    1.3   0.1     6    93    40   127    36   133 0.86 | transcript=PVX_092310.1 | gene=PVX_092310 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr09:1253849-1255840(+) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092310.1-p1      -            663 3403at5820           -            757   8.1e-24   82.1  13.2   2   2   3.6e-26     4e-23   79.8   9.5   178   589   177   578   153   638 0.76 | transcript=PVX_092310.1 | gene=PVX_092310 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr09:1253849-1255840(+) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3403at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3403at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3403at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:42 2026
# [ok]
