#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   1  10         0         0 1065.9  28.1     1   549     1   632     1   653 0.88 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   2  10  5.5e-178    3e-174  579.4   0.5   553   852   692  1039   678  1046 0.97 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   3  10  2.3e-118  1.3e-114  381.5   9.2   846  1057  1085  1328  1078  1335 0.95 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   4  10     0.015        84   -2.9   0.0  1052  1076  1396  1420  1391  1431 0.81 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   5  10         0         0 1292.4  24.2  1076  1779  1503  2337  1494  2362 0.92 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   6  10         0         0 1087.0  36.5  1787  2447  2417  3319  2401  3329 0.91 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   7  10   8.8e-55   4.9e-51  170.5   0.0  2453  2563  3403  3512  3386  3568 0.79 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   8  10         0         0 1418.5  14.3  2563  3331  3609  4502  3583  4506 0.93 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7   9  10  4.6e-190  2.5e-186  619.5   2.8  3330  3683  4541  4991  4538  5002 0.94 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083220.1-p1      -           5553 48at5820             -           4172         0 7689.0 186.7  10  10         0         0 1112.7  13.4  3690  4171  5059  5549  5047  5550 0.98 | transcript=PVX_083220.1 | gene=PVX_083220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:295877-312538(-) | protein_length=5553 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
