#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091600.1-p1      -            316 10901at5820          -            239  3.3e-153  506.3  39.4   1   2  7.8e-147  6.2e-144  476.0  24.9     1   226     1   227     1   252 0.91 | transcript=PVX_091600.1 | gene=PVX_091600 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=Pv_Sal1_chr09:634501-635451(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091600.1-p1      -            316 10901at5820          -            239  3.3e-153  506.3  39.4   2   2   9.8e-11   7.8e-08   30.4   9.7   204   239   254   289   244   289 0.83 | transcript=PVX_091600.1 | gene=PVX_091600 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=Pv_Sal1_chr09:634501-635451(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10901at5820          -            239   6.1e-06   24.2   2.0   1   4   0.00024      0.19    9.4   0.0    77   142    22    89    17    99 0.86 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10901at5820          -            239   6.1e-06   24.2   2.0   2   4     0.087        69    1.1   0.1    86   140   120   174   109   195 0.77 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10901at5820          -            239   6.1e-06   24.2   2.0   3   4     0.013        10    3.8   0.0    92   134   215   255   196   274 0.77 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10901at5820          -            239   6.1e-06   24.2   2.0   4   4    0.0036       2.9    5.6   0.0    87   157   465   536   430   548 0.83 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 10901at5820          -            239   9.4e-05   20.3   1.2   1   3   9.8e-07   0.00077   17.3   0.3    80   160   241   320   230   378 0.86 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 10901at5820          -            239   9.4e-05   20.3   1.2   2   3       0.2   1.6e+02   -0.1   0.0   168   200   431   463   420   471 0.83 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 10901at5820          -            239   9.4e-05   20.3   1.2   3   3      0.39   3.1e+02   -1.1   0.0   113   145   471   503   436   504 0.77 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 10901at5820          -            239    0.0012   16.7   2.6   1   3    0.0003      0.23    9.2   0.1    91   134   107   151    96   165 0.81 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 10901at5820          -            239    0.0012   16.7   2.6   2   3    0.0048       3.8    5.2   0.1    82   145   195   262   184   274 0.82 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 10901at5820          -            239    0.0012   16.7   2.6   3   3      0.15   1.2e+02    0.3   0.0   111   142   440   471   420   484 0.86 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 10901at5820          -            239    0.0013   16.5   1.2   1   2    0.0025         2    6.1   0.1   113   142    84   113    56   127 0.84 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 10901at5820          -            239    0.0013   16.5   1.2   2   2   0.00036      0.28    8.9   0.0    84   138   224   278   188   284 0.90 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 10901at5820          -            239     0.003   15.4   2.2   1   2    0.0015       1.2    6.9   0.3    82   143    31    94    17   105 0.86 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 10901at5820          -            239     0.003   15.4   2.2   2   2   0.00056      0.45    8.2   0.1    86   153   123   190   110   205 0.86 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 10901at5820          -            239      0.17    9.6   4.3   1   2   0.00028      0.22    9.2   2.9    85   151    23    89    19   146 0.71 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 10901at5820          -            239      0.17    9.6   4.3   2   2      0.35   2.7e+02   -0.9   0.0   160   195   160   195   143   205 0.77 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10901at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10901at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10901at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:49 2026
# [ok]
