#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087750.1-p1      -           1116 2233at5820           -            734         0 1325.9  97.1   1   6    2e-105  1.6e-102  342.5  17.0     6   178    16   188     7   198 0.95 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 2233at5820           -            734         0 1325.9  97.1   2   6  1.1e-165  8.3e-163  541.8  24.0   177   457   251   549   245   552 0.93 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 2233at5820           -            734         0 1325.9  97.1   3   6      0.38     3e+02   -2.2  10.4   436   461   546   572   542   592 0.70 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 2233at5820           -            734         0 1325.9  97.1   4   6    0.0032       2.6    4.6   0.0   459   477   700   718   690   722 0.90 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 2233at5820           -            734         0 1325.9  97.1   5   6     1e-97   8.1e-95  317.0  12.0   454   659   757   969   739   974 0.89 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 2233at5820           -            734         0 1325.9  97.1   6   6   3.6e-45   2.8e-42  143.3   5.7   651   734  1032  1116  1015  1116 0.93 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 2233at5820           -            734   1.1e-19   68.7   9.9   1   3   7.6e-07    0.0006   16.6   0.0   107   149   281   325   271   332 0.86 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 2233at5820           -            734   1.1e-19   68.7   9.9   2   3   4.8e-19   3.8e-16   56.9   0.7   214   336   331   452   325   461 0.93 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 2233at5820           -            734   1.1e-19   68.7   9.9   3   3      0.11        87   -0.5   0.1   404   440   475   506   463   514 0.78 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 2233at5820           -            734   1.7e-18   64.7   5.0   1   2   4.9e-07   0.00038   17.2   0.1   114   216   206   311   199   316 0.75 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 2233at5820           -            734   1.7e-18   64.7   5.0   2   2   7.7e-17   6.1e-14   49.6   2.1   236   353   310   432   280   438 0.79 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
