#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088955.1-p1      -            268 10390at5820          -            231  4.7e-140  463.3  21.3   1   1  6.8e-143  5.3e-140  463.1  21.3     1   231    33   264    33   264 0.99 | transcript=PVX_088955.1 | gene=PVX_088955 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=Pv_Sal1_chr05:181839-183064(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091350.1-p1      -            276 10390at5820          -            231   7.6e-42  142.0  17.1   1   1   1.1e-44   8.9e-42  141.7  17.1     2   229    43   274    42   276 0.87 | transcript=PVX_091350.1 | gene=PVX_091350 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=Pv_Sal1_chr09:447407-448860(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097905.1-p1      -            593 10390at5820          -            231   3.3e-20   71.2  12.2   1   1     1e-22     8e-20   69.9  12.2    38   188   272   421   266   430 0.88 | transcript=PVX_097905.1 | gene=PVX_097905 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=Pv_Sal1_chr10:1056452-1058233(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085890.1-p1      -            822 10390at5820          -            231     2e-17   62.1  29.3   1   2      0.61   4.8e+02   -1.4   0.1   136   158   412   434   410   437 0.85 | transcript=PVX_085890.1 | gene=PVX_085890 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM8, putative | transcript_product=rhomboid protease ROM8, putative | location=Pv_Sal1_chr13:1603894-1606797(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085890.1-p1      -            822 10390at5820          -            231     2e-17   62.1  29.3   2   2   2.6e-20     2e-17   62.1  29.3     3   217   586   804   584   820 0.80 | transcript=PVX_085890.1 | gene=PVX_085890 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM8, putative | transcript_product=rhomboid protease ROM8, putative | location=Pv_Sal1_chr13:1603894-1606797(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114055.1-p1      -            273 10390at5820          -            231   3.1e-16   58.2  16.5   1   1   3.9e-19   3.1e-16   58.2  16.5     2   218    42   259    41   273 0.71 | transcript=PVX_114055.1 | gene=PVX_114055 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM10, putative | transcript_product=rhomboid protease ROM10, putative | location=Pv_Sal1_chr11:1287902-1289758(+) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080490.1-p1      -            416 10390at5820          -            231   0.00092   17.4   1.5   1   2       2.9   2.3e+03   -3.6   0.1   153   175   173   193   162   200 0.56 | transcript=PVX_080490.1 | gene=PVX_080490 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=Pv_Sal1_chr10:717591-719195(+) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080490.1-p1      -            416 10390at5820          -            231   0.00092   17.4   1.5   2   2   1.2e-06   0.00092   17.4   1.5    52   115   250   312   226   409 0.79 | transcript=PVX_080490.1 | gene=PVX_080490 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=Pv_Sal1_chr10:717591-719195(+) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114890.1-p1      -            335 10390at5820          -            231    0.0036   15.4   4.8   1   3       2.9   2.3e+03   -3.5   0.1     3    17   105   119    94   129 0.48 | transcript=PVX_114890.1 | gene=PVX_114890 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=Pv_Sal1_chr11:544686-545693(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114890.1-p1      -            335 10390at5820          -            231    0.0036   15.4   4.8   2   3   4.6e-06    0.0036   15.4   4.8    56   114   166   224   154   229 0.88 | transcript=PVX_114890.1 | gene=PVX_114890 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=Pv_Sal1_chr11:544686-545693(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114890.1-p1      -            335 10390at5820          -            231    0.0036   15.4   4.8   3   3     0.027        21    3.1  10.9   115   190   253   325   226   331 0.71 | transcript=PVX_114890.1 | gene=PVX_114890 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=Pv_Sal1_chr11:544686-545693(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
