#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098975.1-p1      -            599 4838at5820           -            434  8.6e-236  780.9  15.1   1   3  3.6e-102   2.5e-99  331.3   3.8     1   180    13   199    13   215 0.98 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 4838at5820           -            434  8.6e-236  780.9  15.1   2   3   2.3e-78   1.6e-75  252.8   0.2   179   320   263   409   256   413 0.95 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 4838at5820           -            434  8.6e-236  780.9  15.1   3   3   1.5e-63   1.1e-60  204.0   0.3   317   434   478   599   467   599 0.94 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000750.1-p1      -            414 4838at5820           -            434   9.8e-18   62.4   4.0   1   1   4.6e-20   3.2e-17   60.7   4.0   159   426   143   407   134   414 0.76 | transcript=PVX_000750.1 | gene=PVX_000750 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr03:332386-334535(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 4838at5820           -            434   4.8e-15   53.5   0.0   1   2    0.0001     0.069   10.2   0.0   125   234   135   237   115   241 0.78 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 4838at5820           -            434   4.8e-15   53.5   0.0   2   2   5.2e-14   3.6e-11   40.8   0.0   317   423   381   488   341   492 0.83 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 4838at5820           -            434   1.4e-12   45.5   0.0   1   2    0.0053       3.7    4.5   0.0   104   162    76   134    66   225 0.89 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 4838at5820           -            434   1.4e-12   45.5   0.0   2   2   1.6e-13   1.1e-10   39.1   0.0   323   425   275   373   268   376 0.84 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 4838at5820           -            434   3.2e-11   41.0   0.6   1   1   1.8e-13   1.2e-10   39.0   0.6   105   425    83   376    65   379 0.83 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 4838at5820           -            434   4.1e-11   40.6   0.0   1   2     0.043        30    1.5   0.0   105   161    78   134    67   226 0.87 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 4838at5820           -            434   4.1e-11   40.6   0.0   2   2   7.5e-13   5.2e-10   37.0   0.0   322   425   274   373   267   376 0.82 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 4838at5820           -            434   2.5e-09   34.7   0.1   1   1   8.2e-11   5.7e-08   30.2   0.1   321   423   266   369    92   376 0.82 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
