#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119325.1-p1      -            869 4376at5820           -            577  5.3e-293  971.0  59.4   1   6  6.2e-114  3.1e-111  370.8  24.7     1   202     1   213     1   223 0.94 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 4376at5820           -            577  5.3e-293  971.0  59.4   2   6   0.00025      0.13    8.9   0.0   194   237   249   297   242   310 0.77 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 4376at5820           -            577  5.3e-293  971.0  59.4   3   6  2.4e-125  1.2e-122  408.5   1.8   235   416   342   523   331   575 0.88 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 4376at5820           -            577  5.3e-293  971.0  59.4   4   6      0.07        35    0.8   0.1   413   454   634   675   625   687 0.77 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 4376at5820           -            577  5.3e-293  971.0  59.4   5   6   8.8e-63   4.4e-60  201.9   3.5   439   569   688   821   676   828 0.94 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 4376at5820           -            577  5.3e-293  971.0  59.4   6   6      0.22   1.1e+02   -0.8   0.7   564   577   856   869   851   869 0.83 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 4376at5820           -            577   3.1e-64  215.6  46.8   1   2   4.6e-54   2.3e-51  173.2  43.4   104   391    85   390    73   398 0.85 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 4376at5820           -            577   3.1e-64  215.6  46.8   2   2   6.9e-14   3.5e-11   40.5   0.1   465   521   439   495   391   505 0.77 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 4376at5820           -            577   8.9e-51  171.2  22.8   1   1   2.4e-53   1.2e-50  170.8  22.8    52   241    19   216    10   244 0.77 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 4376at5820           -            577   1.9e-50  170.1  23.6   1   1   5.1e-53   2.6e-50  169.7  23.6    52   241    19   216    10   243 0.76 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 4376at5820           -            577   2.2e-49  166.6  26.7   1   1   5.5e-52   2.8e-49  166.3  26.7    51   201    18   167     9   215 0.83 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
