#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123320.1-p1      -           1226 2022at5820           -            968         0 1829.4 147.6   1   5   4.6e-47     5e-44  148.9   9.1     1    87     1    87     1   105 0.88 | transcript=PVX_123320.1 | gene=PVX_123320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1348960-1354170(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123320.1-p1      -           1226 2022at5820           -            968         0 1829.4 147.6   2   5    4e-198  4.5e-195  648.9  52.2    79   419   121   474   113   482 0.96 | transcript=PVX_123320.1 | gene=PVX_123320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1348960-1354170(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123320.1-p1      -           1226 2022at5820           -            968         0 1829.4 147.6   3   5   0.00012      0.14    8.5   2.4   418   448   512   545   503   566 0.78 | transcript=PVX_123320.1 | gene=PVX_123320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1348960-1354170(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123320.1-p1      -           1226 2022at5820           -            968         0 1829.4 147.6   4   5    2e-174  2.2e-171  570.5  33.7   444   758   591   959   579   977 0.95 | transcript=PVX_123320.1 | gene=PVX_123320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1348960-1354170(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123320.1-p1      -           1226 2022at5820           -            968         0 1829.4 147.6   5   5  3.1e-146  3.5e-143  477.1  18.7   756   968  1014  1226  1006  1226 0.99 | transcript=PVX_123320.1 | gene=PVX_123320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1348960-1354170(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099515.1-p1      -            846 2022at5820           -            968   1.6e-21   74.5  36.5   1   2   5.8e-11   6.4e-08   29.4  25.9   478   730   421   659   397   663 0.79 | transcript=PVX_099515.1 | gene=PVX_099515 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr07:828939-832532(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099515.1-p1      -            846 2022at5820           -            968   1.6e-21   74.5  36.5   2   2   3.2e-17   3.6e-14   50.1   3.4   786   950   664   825   650   835 0.84 | transcript=PVX_099515.1 | gene=PVX_099515 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr07:828939-832532(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 2022at5820           -            968   0.00012   18.6   9.7   1   3     0.083        92   -0.9   0.0   878   894   279   295   244   327 0.73 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 2022at5820           -            968   0.00012   18.6   9.7   2   3   3.4e-06    0.0038   13.6   0.9   850   898   328   379   310   382 0.83 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 2022at5820           -            968   0.00012   18.6   9.7   3   3   9.9e-05      0.11    8.8   2.0   812   892   382   461   370   467 0.85 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 2022at5820           -            968   0.00013   18.4   1.4   1   2   2.9e-05     0.032   10.6   0.0   553   647   387   480   367   514 0.86 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
