#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002875.1-p1      -            328 9149at5820           -            300  2.8e-190  629.3  13.8   1   1  1.6e-191  3.6e-189  625.7  13.8     1   300     4   328     4   328 0.97 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 9149at5820           -            300  4.4e-124  412.0   5.8   1   1  3.4e-126  7.4e-124  411.2   5.8    26   300     1   300     1   300 0.92 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 9149at5820           -            300   5.3e-86  286.9   2.7   1   1   8.1e-88   1.8e-85  285.2   2.7     1   298    85   418    85   419 0.87 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 9149at5820           -            300     9e-34  115.4   9.0   1   3   3.8e-24   8.3e-22   76.2   0.7     2    78    28    98    27   108 0.90 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 9149at5820           -            300     9e-34  115.4   9.0   2   3    0.0045      0.99    7.0   0.1   120   158   110   148    97   180 0.72 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 9149at5820           -            300     9e-34  115.4   9.0   3   3   2.8e-12   6.2e-10   37.2   0.5   140   293   187   357   163   363 0.76 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 9149at5820           -            300   8.2e-29   99.2  12.2   1   2     4e-20   8.8e-18   62.9   3.6     2   102    47   140    46   194 0.82 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 9149at5820           -            300   8.2e-29   99.2  12.2   2   2   1.8e-13     4e-11   41.1   1.4   169   294   246   378   222   380 0.84 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 9149at5820           -            300   2.9e-20   71.1   0.7   1   2   1.3e-22   2.9e-20   71.1   0.7     1   109     6   118     6   136 0.78 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 9149at5820           -            300   2.9e-20   71.1   0.7   2   2       2.7     6e+02   -2.2   0.3    95   115   140   160   118   182 0.76 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 9149at5820           -            300   4.2e-18   64.0   2.1   1   2   7.2e-16   1.6e-13   49.0   0.5     1   161    84   234    84   241 0.76 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
