#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098935.1-p1      -           1393 1394at5820           -           1113         0 2227.0  83.3   1   4   5.7e-36   6.3e-33  111.8   7.8     1   116     1   192     1   196 0.89 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 1394at5820           -           1113         0 2227.0  83.3   2   4  9.6e-173  1.1e-169  564.7  11.1   116   368   273   525   269   532 0.98 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 1394at5820           -           1113         0 2227.0  83.3   3   4  2.4e-249  2.6e-246  818.4  21.9   370   755   576   969   569   977 0.97 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 1394at5820           -           1113         0 2227.0  83.3   4   4  1.1e-228  1.2e-225  750.0  18.4   754  1113  1032  1393  1028  1393 0.99 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 1394at5820           -           1113  1.6e-155  517.8  27.9   1   3  1.5e-138  1.7e-135  451.5  11.2   148   645   259   745   215   771 0.92 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 1394at5820           -           1113  1.6e-155  517.8  27.9   2   3      0.11   1.2e+02   -1.7   2.2   574   648  1071  1140  1061  1150 0.79 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 1394at5820           -           1113  1.6e-155  517.8  27.9   3   3     1e-25   1.1e-22   77.9   0.5   938  1112  1213  1387  1208  1387 0.90 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1394at5820           -           1113     4e-34  115.8  18.9   1   4   9.9e-07    0.0011   15.0   1.2   244   313   587   666   516   718 0.67 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1394at5820           -           1113     4e-34  115.8  18.9   2   4   4.3e-10   4.7e-07   26.1   0.3   469   563   769   865   694   891 0.83 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1394at5820           -           1113     4e-34  115.8  18.9   3   4   7.5e-13   8.3e-10   35.3   1.4   169   280  1416  1540  1403  1604 0.83 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1394at5820           -           1113     4e-34  115.8  18.9   4   4   7.6e-17   8.4e-14   48.5   0.2   467   566  1773  1874  1755  1927 0.83 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1394at5820           -           1113   1.4e-20   70.9  13.6   1   6         5   5.5e+03  -15.7  14.5    18    42   258   279   240   292 0.42 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1394at5820           -           1113   1.4e-20   70.9  13.6   2   6   2.7e-09     3e-06   23.5   0.9   169   289   719   859   699   867 0.68 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1394at5820           -           1113   1.4e-20   70.9  13.6   3   6   7.7e-18   8.5e-15   51.8   0.7   402   567   992  1157   928  1198 0.86 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1394at5820           -           1113   1.4e-20   70.9  13.6   4   6      0.17   1.8e+02   -2.3   0.4   197   282  1744  1838  1723  1846 0.69 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1394at5820           -           1113   1.4e-20   70.9  13.6   5   6     0.027        30    0.3   0.1   292   366  1937  2005  1930  2021 0.77 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1394at5820           -           1113   1.4e-20   70.9  13.6   6   6   1.6e-09   1.8e-06   24.2   0.4   465   566  2053  2155  2045  2163 0.90 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 1394at5820           -           1113   1.8e-08   30.8   1.6   1   2   0.00075      0.83    5.5   0.6   152   287   201   323    56   346 0.65 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 1394at5820           -           1113   1.8e-08   30.8   1.6   2   2   1.9e-09   2.1e-06   24.0   0.0   504   554   452   502   447   521 0.88 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1394at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:58 2026
# [ok]
