#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117357.1-p1      -            121 13983at5820          -            111   4.4e-66  218.2   6.4   1   1   6.3e-69     5e-66  218.1   6.4     1   111     1   115     1   115 0.98 | transcript=PVX_117357.1 | gene=PVX_117357 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=Pv_Sal1_chr12:1822980-1823345(+) | protein_length=121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 13983at5820          -            111   4.2e-09   34.8   0.1   1   1   5.9e-12   4.7e-09   34.6   0.1    28   109    19   101     5   103 0.91 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099690.1-p1      -            133 13983at5820          -            111   5.2e-07   28.0   0.0   1   1   8.2e-10   6.5e-07   27.7   0.0     9   110    25   125    18   126 0.85 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083155.1-p1      -            157 13983at5820          -            111   4.7e-05   21.7   0.4   1   1   7.3e-08   5.8e-05   21.5   0.4    18   111    62   157    47   157 0.80 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089310.1-p1      -            519 13983at5820          -            111    0.0069   14.8   1.5   1   3      0.48   3.8e+02   -0.5   0.1    64   103    62   100    51   105 0.76 | transcript=PVX_089310.1 | gene=PVX_089310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:452949-455184(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089310.1-p1      -            519 13983at5820          -            111    0.0069   14.8   1.5   2   3      0.48   3.8e+02   -0.5   0.1    59    91   173   205   154   227 0.60 | transcript=PVX_089310.1 | gene=PVX_089310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:452949-455184(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089310.1-p1      -            519 13983at5820          -            111    0.0069   14.8   1.5   3   3   8.8e-06    0.0069   14.8   1.5    28    90   257   322   245   330 0.84 | transcript=PVX_089310.1 | gene=PVX_089310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:452949-455184(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119595.1-p1      -            302 13983at5820          -            111     0.018   13.4   0.1   1   1   0.00017      0.13   10.6   0.1    57   104   120   166    51   170 0.73 | transcript=PVX_119595.1 | gene=PVX_119595 | organism=Plasmodium_vivax_Sal-1 | gene_product=YTH domain-containing protein, putative | transcript_product=YTH domain-containing protein, putative | location=Pv_Sal1_chr08:1353497-1355421(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099235.1-p1      -            179 13983at5820          -            111      0.02   13.3   0.2   1   1   4.2e-05     0.033   12.6   0.2     6   101    65   164    58   172 0.76 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13983at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13983at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13983at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:06 2026
# [ok]
