#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094435.1-p1      -            341 9722at5820           -            288  9.5e-158  522.6  35.9   1   3  7.8e-118  5.4e-115  382.3  16.7     1   206     1   215     1   219 0.96 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094435.1-p1      -            341 9722at5820           -            288  9.5e-158  522.6  35.9   2   3   8.5e-30   5.9e-27   93.4   1.5   198   256   228   286   225   298 0.93 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094435.1-p1      -            341 9722at5820           -            288  9.5e-158  522.6  35.9   3   3   3.2e-19   2.2e-16   58.7   2.7   250   288   303   341   291   341 0.91 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 9722at5820           -            288   1.4e-18   65.9   3.9   1   3   5.2e-17   3.6e-14   51.4   0.4    14   184     5   188     3   188 0.76 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 9722at5820           -            288   1.4e-18   65.9   3.9   2   3   4.2e-07   0.00029   18.9   0.3    66   145   160   243   151   259 0.75 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 9722at5820           -            288   1.4e-18   65.9   3.9   3   3      0.12        80    1.0   0.0    62   105   252   297   247   301 0.74 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 9722at5820           -            288   1.4e-18   65.9   3.4   1   3   2.3e-15   1.6e-12   46.0   0.1    14   148     5   149     3   160 0.76 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 9722at5820           -            288   1.4e-18   65.9   3.4   2   3   6.5e-07   0.00045   18.3   0.4    66   145   160   243   153   258 0.74 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 9722at5820           -            288   1.4e-18   65.9   3.4   3   3     0.096        66    1.3   0.0    62   107   252   299   247   306 0.75 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9722at5820           -            288   1.1e-07   30.2  14.1   1   5    0.0013      0.89    7.5   0.0   203   246    21    63     3    82 0.78 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9722at5820           -            288   1.1e-07   30.2  14.1   2   5      0.05        35    2.2   1.3    44   104   584   652   577   664 0.77 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9722at5820           -            288   1.1e-07   30.2  14.1   3   5     0.093        64    1.4   0.1   163   199   667   703   662   710 0.59 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9722at5820           -            288   1.1e-07   30.2  14.1   4   5    0.0011      0.77    7.7   0.4   131   201   764   829   736   836 0.67 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9722at5820           -            288   1.1e-07   30.2  14.1   5   5   3.5e-06    0.0024   15.9   0.0   196   261  1004  1071   989  1081 0.81 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 9722at5820           -            288   6.1e-07   27.7   6.4   1   3     0.018        12    3.7   0.0   117   140    26    49    13    59 0.65 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
