#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101215.1-p1      -            209 12243at5820          -            188  7.8e-109  360.1   4.4   1   1  2.1e-111  9.1e-109  359.9   4.4     1   188     5   209     5   209 0.95 | transcript=PVX_101215.1 | gene=PVX_101215 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A tail domain interacting protein MTIP, putative | transcript_product=myosin A tail domain interacting protein MTIP, putative | location=Pv_Sal1_chr14:2729679-2730308(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 12243at5820          -            188   1.2e-12   46.5   1.2   1   2   0.00011     0.046   12.0   0.0   124   175     9    60     3    69 0.87 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 12243at5820          -            188   1.2e-12   46.5   1.2   2   2   1.3e-11   5.5e-09   34.5   0.3   106   184    64   144    57   148 0.86 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 12243at5820          -            188   5.1e-11   41.2   1.5   1   1   1.4e-13   6.1e-11   40.9   1.5    51   170    18   144     4   159 0.77 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114465.1-p1      -            140 12243at5820          -            188   8.6e-11   40.4   0.7   1   1   2.3e-13   9.9e-11   40.2   0.7    63   187    11   138     1   139 0.74 | transcript=PVX_114465.1 | gene=PVX_114465 | organism=Plasmodium_vivax_Sal-1 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=Pv_Sal1_chr11:945073-946681(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 12243at5820          -            188   5.3e-10   37.9   1.5   1   1   1.5e-12   6.4e-10   37.6   1.5    52   174    33   159    12   171 0.77 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 12243at5820          -            188   1.2e-09   36.8   3.9   1   1   3.2e-11   1.3e-08   33.3   3.7    48   176     5   141     2   154 0.79 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12243at5820          -            188   7.6e-08   30.8   7.0   1   3    0.0081       3.4    5.9   0.1   126   172    11    57     4    68 0.83 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12243at5820          -            188   7.6e-08   30.8   7.0   2   3     0.024        10    4.3   0.0    53    88    44    79    38    97 0.84 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12243at5820          -            188   7.6e-08   30.8   7.0   3   3   2.2e-09   9.5e-07   27.3   1.6   103   183   147   229   104   233 0.87 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 12243at5820          -            188   8.3e-08   30.7   0.2   1   2      0.19        82    1.4   0.0   122   154    23    55    19    64 0.84 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 12243at5820          -            188   8.3e-08   30.7   0.2   2   2   2.2e-09   9.5e-07   27.2   0.1   104   170    78   144    67   160 0.88 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 12243at5820          -            188   1.6e-05   23.2   0.5   1   5       1.3   5.4e+02   -1.3   0.0   120   155   225   261   196   271 0.75 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 12243at5820          -            188   1.6e-05   23.2   0.5   2   5       5.5   2.3e+03   -3.4   0.0    76   102   282   311   272   322 0.67 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 12243at5820          -            188   1.6e-05   23.2   0.5   3   5       4.6     2e+03   -3.1   0.1    51    86   338   373   333   384 0.65 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 12243at5820          -            188   1.6e-05   23.2   0.5   4   5       1.8   7.5e+02   -1.8   0.3    49    96   473   522   456   553 0.65 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 12243at5820          -            188   1.6e-05   23.2   0.5   5   5   3.8e-08   1.6e-05   23.2   0.5   107   178   574   648   554   654 0.78 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12243at5820          -            188    0.0036   15.6   0.6   1   2    0.0065       2.8    6.2   0.1   109   148   363   402   333   423 0.82 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12243at5820          -            188    0.0036   15.6   0.6   2   2    0.0041       1.7    6.8   0.1   105   151   440   488   428   524 0.78 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113440.1-p1      -            158 12243at5820          -            188    0.0042   15.4   5.4   1   1   1.2e-05     0.005   15.1   5.4    51   185    19   154     3   157 0.75 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085540.1-p1      -            136 12243at5820          -            188    0.0051   15.1   0.2   1   1   1.4e-05     0.006   14.9   0.2    90   165    36   111     9   131 0.71 | transcript=PVX_085540.1 | gene=PVX_085540 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:1260591-1261001(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123270.1-p1      -            111 12243at5820          -            188     0.009   14.3   0.1   1   1   2.7e-05     0.011   14.0   0.1    60   116    46   102    40   110 0.82 | transcript=PVX_123270.1 | gene=PVX_123270 | organism=Plasmodium_vivax_Sal-1 | gene_product=50S ribosomal protein L33, putative | transcript_product=50S ribosomal protein L33, putative | location=Pv_Sal1_chr14:1289961-1290544(+) | protein_length=111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12243at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12243at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12243at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:19 2026
# [ok]
