#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   1   8   3.2e-35   2.5e-32  110.3   0.5     1    74    71   144    71   150 0.98 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   2   8   3.7e-29   2.9e-26   90.3   0.0    71   135   182   246   175   252 0.93 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   3   8   1.3e-08     1e-05   22.3   0.0   134   164   268   298   264   306 0.90 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   4   8   1.2e-87   9.2e-85  283.7  13.6   164   332   339   508   336   511 0.98 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   5   8   7.8e-46   6.1e-43  145.4   1.6   332   433   544   656   540   660 0.90 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   6   8   9.5e-57   7.5e-54  181.5   3.0   446   574   735   883   730   887 0.87 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   7   8   1.8e-41   1.4e-38  131.0   2.0   580   706   935  1101   929  1106 0.81 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3276at5820           -            743  7.5e-295  978.3  51.2   8   8   1.1e-09   8.7e-07   25.9   0.0   706   742  1161  1204  1158  1205 0.91 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3276at5820           -            743   5.1e-13   46.5  19.2   1   3   9.5e-08   7.5e-05   19.5   0.2    20   110    93   174    80   183 0.80 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3276at5820           -            743   5.1e-13   46.5  19.2   2   3   2.6e-06     0.002   14.8   0.3   341   401   186   246   174   253 0.71 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3276at5820           -            743   5.1e-13   46.5  19.2   3   3   1.4e-06    0.0011   15.6   7.3   337   509   256   425   255   449 0.82 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3276at5820           -            743   8.3e-13   45.8  46.7   1   4   8.6e-07   0.00068   16.3   5.3   173   269   113   205   101   218 0.53 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3276at5820           -            743   8.3e-13   45.8  46.7   2   4    0.0017       1.4    5.4   0.2   455   496   191   232   185   232 0.77 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3276at5820           -            743   8.3e-13   45.8  46.7   3   4   9.7e-07   0.00077   16.1  13.2   336   480   224   375   219   384 0.77 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3276at5820           -            743   8.3e-13   45.8  46.7   4   4   9.5e-09   7.5e-06   22.8  13.2   166   279   379   489   370   506 0.89 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084702.1-p1      -            873 3276at5820           -            743   2.7e-07   27.6   5.9   1   5       0.6   4.8e+02   -3.0   0.1   449   480   200   231   198   246 0.71 | transcript=PVX_084702.1 | gene=PVX_084702 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease proteolytic subunit, putative | transcript_product=ATP-dependent Clp protease proteolytic subunit, putative | location=Pv_Sal1_chr13:552587-555364(+) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084702.1-p1      -            873 3276at5820           -            743   2.7e-07   27.6   5.9   2   5     0.019        15    2.0   2.7   334   392   277   340   268   359 0.79 | transcript=PVX_084702.1 | gene=PVX_084702 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease proteolytic subunit, putative | transcript_product=ATP-dependent Clp protease proteolytic subunit, putative | location=Pv_Sal1_chr13:552587-555364(+) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084702.1-p1      -            873 3276at5820           -            743   2.7e-07   27.6   5.9   3   5      0.51     4e+02   -2.8   3.2    32   119   557   646   534   662 0.55 | transcript=PVX_084702.1 | gene=PVX_084702 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease proteolytic subunit, putative | transcript_product=ATP-dependent Clp protease proteolytic subunit, putative | location=Pv_Sal1_chr13:552587-555364(+) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084702.1-p1      -            873 3276at5820           -            743   2.7e-07   27.6   5.9   4   5      0.31   2.5e+02   -2.0   5.3   313   388   655   732   649   754 0.75 | transcript=PVX_084702.1 | gene=PVX_084702 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease proteolytic subunit, putative | transcript_product=ATP-dependent Clp protease proteolytic subunit, putative | location=Pv_Sal1_chr13:552587-555364(+) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084702.1-p1      -            873 3276at5820           -            743   2.7e-07   27.6   5.9   5   5   3.4e-10   2.7e-07   27.6   5.9   342   409   790   857   768   863 0.91 | transcript=PVX_084702.1 | gene=PVX_084702 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease proteolytic subunit, putative | transcript_product=ATP-dependent Clp protease proteolytic subunit, putative | location=Pv_Sal1_chr13:552587-555364(+) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
