#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   1  10     3e-12   5.5e-09   32.9   2.4     1    38     1    39     1    58 0.82 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   2  10   1.2e-49   2.2e-46  156.8   9.2    44   133   136   225   129   229 0.96 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   3  10   7.7e-64   1.4e-60  203.7  11.9   132   264   249   389   245   410 0.92 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   4  10   2.7e-14   4.9e-11   39.7   0.1   275   308   563   596   522   613 0.84 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   5  10   1.6e-54   2.9e-51  172.9   0.1   308   484   634   876   631   892 0.78 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   6  10      0.17   3.2e+02   -2.7   2.6   498   514   975   991   942   993 0.79 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   7  10   1.6e-17     3e-14   50.4   6.5   514   590  1035  1132  1012  1152 0.73 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   8  10   4.2e-34   7.7e-31  105.3   3.4   587   662  1165  1240  1146  1245 0.93 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9   9  10   1.3e-95   2.4e-92  309.0  18.0   660   821  1318  1478  1304  1482 0.97 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083490.1-p1      -           1802 1177at5820           -           1061         0 1502.7 134.9  10  10  1.1e-146    2e-143  478.1  18.4   816  1060  1553  1799  1549  1800 0.98 | transcript=PVX_083490.1 | gene=PVX_083490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:79132-84540(-) | protein_length=1802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117505.1-p1      -            795 1177at5820           -           1061   1.3e-15   54.9  36.1   1   2   1.4e-06    0.0026   14.2   0.9   609   677    51   132    43   150 0.65 | transcript=PVX_117505.1 | gene=PVX_117505 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr12:1914479-1916866(-) | protein_length=795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
