#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099265.1-p1      -            238 12899at5820          -            214   1.1e-69  232.9  20.1   1   1   1.8e-72   2.5e-69  231.7  20.1    21   214    25   237    17   237 0.75 | transcript=PVX_099265.1 | gene=PVX_099265 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:636677-637393(+) | protein_length=238 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093545.1-p1      -            680 12899at5820          -            214   3.5e-05   22.0  11.5   1   4      0.96   1.3e+03   -2.7   0.6    32    51   183   201   168   223 0.44 | transcript=PVX_093545.1 | gene=PVX_093545 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:624735-626777(-) | protein_length=680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093545.1-p1      -            680 12899at5820          -            214   3.5e-05   22.0  11.5   2   4      0.63   8.7e+02   -2.1   0.6   126   146   248   266   235   281 0.43 | transcript=PVX_093545.1 | gene=PVX_093545 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:624735-626777(-) | protein_length=680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093545.1-p1      -            680 12899at5820          -            214   3.5e-05   22.0  11.5   3   4   2.5e-08   3.5e-05   22.0  11.5    83   174   306   399   303   412 0.71 | transcript=PVX_093545.1 | gene=PVX_093545 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:624735-626777(-) | protein_length=680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093545.1-p1      -            680 12899at5820          -            214   3.5e-05   22.0  11.5   4   4         4   5.5e+03   -4.8   9.8    26   148   588   619   557   660 0.52 | transcript=PVX_093545.1 | gene=PVX_093545 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:624735-626777(-) | protein_length=680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099045.1-p1      -            409 12899at5820          -            214   6.4e-05   21.2  12.7   1   4   4.6e-08   6.4e-05   21.2  12.7    80   135     2    53     1    68 0.71 | transcript=PVX_099045.1 | gene=PVX_099045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:472542-473771(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099045.1-p1      -            409 12899at5820          -            214   6.4e-05   21.2  12.7   2   4       2.7   3.7e+03   -4.2   0.4   143   150    86    93    79   114 0.50 | transcript=PVX_099045.1 | gene=PVX_099045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:472542-473771(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099045.1-p1      -            409 12899at5820          -            214   6.4e-05   21.2  12.7   3   4      0.42   5.9e+02   -1.6   0.2   112   145   140   171   132   233 0.63 | transcript=PVX_099045.1 | gene=PVX_099045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:472542-473771(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099045.1-p1      -            409 12899at5820          -            214   6.4e-05   21.2  12.7   4   4      0.28   3.9e+02   -1.0   2.9   180   198   350   368   313   382 0.71 | transcript=PVX_099045.1 | gene=PVX_099045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:472542-473771(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085655.1-p1      -            162 12899at5820          -            214       1.1    7.4  31.6   1   2       3.4   4.7e+03   -4.5  12.7    20    58    19    54     3    96 0.42 | transcript=PVX_085655.1 | gene=PVX_085655 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr13:1397763-1398585(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085655.1-p1      -            162 12899at5820          -            214       1.1    7.4  31.6   2   2   4.2e-05     0.058   11.5  19.9    47   120    71   157    45   161 0.57 | transcript=PVX_085655.1 | gene=PVX_085655 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr13:1397763-1398585(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12899at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:09 2026
# [ok]
