#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090955.1-p1      -            167 12830at5820          -            150   9.9e-87  287.0  12.9   1   1     3e-89   1.1e-86  286.8  12.9     1   150    11   167    11   167 0.96 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 12830at5820          -            150   7.7e-28   95.8   8.7   1   1   2.6e-30   9.5e-28   95.5   8.7     2   135    22   162    21   166 0.92 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 12830at5820          -            150   7.3e-26   89.4   8.7   1   1   2.6e-28   9.4e-26   89.0   8.7     1   135    32   173    32   177 0.92 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 12830at5820          -            150   2.2e-22   78.1   4.0   1   1   7.8e-25   2.9e-22   77.7   4.0     3   135    23   162    21   166 0.89 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 12830at5820          -            150   1.4e-17   62.5   2.1   1   1   4.4e-20   1.6e-17   62.3   2.1     4   137     8   148     5   149 0.87 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113440.1-p1      -            158 12830at5820          -            150   5.3e-06   24.9   1.1   1   2      0.35   1.3e+02    1.0   1.1    45    94    26    76    15    89 0.62 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113440.1-p1      -            158 12830at5820          -            150   5.3e-06   24.9   1.1   2   2   1.4e-08   5.3e-06   24.9   1.1     8    67    94   153    82   158 0.87 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12830at5820          -            150   1.3e-05   23.7   6.8   1   3       2.6   9.7e+02   -1.9   0.0    42   102   292   351   276   363 0.65 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12830at5820          -            150   1.3e-05   23.7   6.8   2   3     0.027        10    4.6   0.2   108   148   379   421   352   423 0.70 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12830at5820          -            150   1.3e-05   23.7   6.8   3   3   1.1e-06   0.00039   18.9   5.5     6   137   379   525   375   529 0.71 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 12830at5820          -            150   2.6e-05   22.7   5.6   1   1   1.8e-07   6.7e-05   21.4   5.6     7   135    28   164    22   175 0.73 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 12830at5820          -            150     8e-05   21.1   4.2   1   2   2.2e-07     8e-05   21.1   4.2    62   138    34   111    28   125 0.83 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 12830at5820          -            150     8e-05   21.1   4.2   2   2      0.11        42    2.5   1.0    13    51   129   168   113   200 0.54 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
