#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079845.1-p1      -            930 2524at5820           -            799         0 1617.7  77.7   1   2         0         0 1254.9  48.0     1   588     1   607     1   619 0.97 | transcript=PVX_079845.1 | gene=PVX_079845 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit beta, putative | transcript_product=AP-1 complex subunit beta, putative | location=Pv_Sal1_chr10:144521-148368(+) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079845.1-p1      -            930 2524at5820           -            799         0 1617.7  77.7   2   2  1.6e-113  1.8e-110  368.7  19.5   580   799   660   927   651   927 0.92 | transcript=PVX_079845.1 | gene=PVX_079845 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit beta, putative | transcript_product=AP-1 complex subunit beta, putative | location=Pv_Sal1_chr10:144521-148368(+) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081805.1-p1      -            902 2524at5820           -            799   1.7e-80  269.6  40.9   1   2   1.5e-83   1.7e-80  269.6  40.9    13   564     6   577     2   586 0.91 | transcript=PVX_081805.1 | gene=PVX_081805 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=Pv_Sal1_chr02:676592-679890(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081805.1-p1      -            902 2524at5820           -            799   1.7e-80  269.6  40.9   2   2      0.72     8e+02   -3.8   0.6   641   745   737   843   733   873 0.50 | transcript=PVX_081805.1 | gene=PVX_081805 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=Pv_Sal1_chr02:676592-679890(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 2524at5820           -            799   8.4e-26   88.7  15.1   1   2   3.9e-26   4.3e-23   79.8   1.3     4   189    32   214    29   222 0.92 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 2524at5820           -            799   8.4e-26   88.7  15.1   2   2   2.7e-06     0.003   14.1   6.5   227   450   368   592   357   628 0.86 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 2524at5820           -            799   1.3e-09   35.2   6.6   1   2   1.2e-12   1.3e-09   35.2   6.6    16   200    25   230    13   237 0.80 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 2524at5820           -            799   1.3e-09   35.2   6.6   2   2     0.011        12    2.3   2.9   276   353   399   479   348   498 0.79 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 2524at5820           -            799    0.0014   15.2  36.6   1   3   1.1e-06    0.0012   15.4  19.0    25   350    53   394    38   415 0.71 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 2524at5820           -            799    0.0014   15.2  36.6   2   3   2.4e-05     0.026   11.0   3.3   411   523   614   729   600   795 0.74 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 2524at5820           -            799    0.0014   15.2  36.6   3   3      0.63     7e+02   -3.6   0.4   502   553  1215  1267  1197  1293 0.71 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2524at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2524at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2524at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:33 2026
# [ok]
