#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   1  10   8.5e-06     0.023   11.1   0.0     8    39    23    55    15    72 0.79 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   2  10   2.6e-64   7.2e-61  204.7   6.7    35   165    79   210    74   213 0.96 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   3  10   6.6e-10   1.8e-06   24.7   0.1   165   197   237   272   235   276 0.87 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   4  10   2.4e-81   6.7e-78  261.1  12.9   198   403   323   560   317   571 0.84 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   5  10   6.9e-34   1.9e-30  104.0   5.4   381   482   576   680   562   689 0.87 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   6  10   2.9e-36     8e-33  111.9   0.1   482   559   797   874   790   878 0.97 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   7  10   5.8e-26   1.6e-22   77.8   0.1   559   626   904   982   900   988 0.86 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   8  10   1.6e-35   4.4e-32  109.5   0.7   626   723  1018  1126  1016  1132 0.92 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6   9  10   8.9e-18   2.5e-14   50.7   0.0   724   765  1171  1212  1169  1218 0.93 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113405.1-p1      -           1376 1205at5820           -            896         0 1149.9  79.6  10  10   2.5e-70   6.8e-67  224.6   6.3   762   896  1235  1376  1229  1376 0.96 | transcript=PVX_113405.1 | gene=PVX_113405 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr11:1827703-1831833(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 1205at5820           -            896     0.035   10.5  12.7   1   3   2.1e-05     0.058    9.8   2.2   173   236    72   135    65   145 0.95 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 1205at5820           -            896     0.035   10.5  12.7   2   3   9.4e-05      0.26    7.6   0.1    75   157   397   478   385   484 0.81 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 1205at5820           -            896     0.035   10.5  12.7   3   3     0.073     2e+02   -1.9   0.5    43   508   543   563   527   646 0.42 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
