#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099605.1-p1      -            202 11831at5820          -            156   2.9e-96  317.8   2.7   1   1   1.1e-98   5.2e-96  317.0   2.7     1   156    25   202    25   202 0.95 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 11831at5820          -            156   6.5e-09   34.1   0.1   1   3   0.00097      0.45    8.6   0.0    54    96   104   146    90   158 0.88 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 11831at5820          -            156   6.5e-09   34.1   0.1   2   3   0.00058      0.27    9.3   0.0    53   106   202   252   182   285 0.81 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 11831at5820          -            156   6.5e-09   34.1   0.1   3   3   9.1e-05     0.042   12.0   0.0    57   115   391   450   384   474 0.85 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 11831at5820          -            156   7.1e-09   33.9   0.0   1   2   3.8e-08   1.8e-05   22.9   0.0    57   114   644   702   609   716 0.89 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 11831at5820          -            156   7.1e-09   33.9   0.0   2   2    0.0013      0.61    8.2   0.0    54    98   743   787   735   807 0.82 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 11831at5820          -            156   1.2e-06   26.8   1.4   1   3     0.019       8.7    4.4   0.1    49    99    29    74     6    94 0.69 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 11831at5820          -            156   1.2e-06   26.8   1.4   2   3   0.00029      0.13   10.3   0.0    59   110   139   191    89   206 0.67 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 11831at5820          -            156   1.2e-06   26.8   1.4   3   3   0.00056      0.26    9.4   0.0    54   112   225   283   220   291 0.77 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 11831at5820          -            156   2.6e-05   22.4   2.2   1   2     0.013         6    5.0   0.1    70    90   126   146    89   179 0.77 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 11831at5820          -            156   2.6e-05   22.4   2.2   2   2   2.8e-06    0.0013   16.9   0.3    36   111   293   379   269   396 0.77 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
