#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   1  11     0.001       5.6    2.0   0.2    18    58   122   161   105   166 0.72 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   2  11     5e-12   2.8e-08   29.5   2.1    34    78   163   207   152   215 0.91 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   3  11         0         0 1227.5  74.4    72   778   227   979   223   983 0.95 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   4  11   6.3e-06     0.035    9.3   0.0   773   802  1029  1058  1024  1065 0.87 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   5  11   8.5e-12   4.7e-08   28.7   0.0   805   839  1130  1164  1117  1173 0.90 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   6  11  1.1e-145    6e-142  472.7  35.0   834  1166  1209  1613  1205  1632 0.87 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   7  11     4e-38   2.2e-34  116.0   1.9  1164  1246  1658  1748  1652  1752 0.92 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   8  11   3.5e-11   1.9e-07   26.7   1.2  1246  1299  1779  1844  1775  1851 0.83 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8   9  11   3.1e-18   1.7e-14   50.1   0.4  1292  1341  1884  1933  1882  1941 0.93 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8  10  11   1.7e-95   9.5e-92  306.3  20.9  1340  1571  1970  2238  1962  2279 0.88 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118600.1-p1      -           2754 280at5820            -           1963         0 2883.3 241.8  11  11    7e-199  3.9e-195  649.1  48.8  1568  1963  2301  2747  2285  2747 0.91 | transcript=PVX_118600.1 | gene=PVX_118600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2879329-2889929(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/280at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/280at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/280at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:58 2026
# [ok]
