#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   1  34     2e-15   1.1e-11   40.6   0.3     1    47     3    49     3    55 0.95 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   2  34   5.8e-10   3.2e-06   22.4   0.0    48    84    80   117    74   121 0.90 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   3  34   0.00023       1.3    3.8   0.0    84   104   155   175   150   178 0.91 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   4  34   5.4e-32     3e-28   95.5   1.0   105   203   230   331   224   343 0.92 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   5  34   3.1e-34   1.7e-30  103.0   0.0   200   299   358   463   349   474 0.91 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   6  34     0.013        70   -1.9   0.0   303   323   537   557   532   563 0.88 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   7  34   5.2e-15   2.9e-11   39.2   0.0   326   390   612   678   608   682 0.93 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   8  34   3.3e-05      0.18    6.6   0.0   386   420   716   753   704   755 0.84 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9   9  34   3.6e-07     0.002   13.2   0.4   418   453   805   840   803   864 0.85 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9  10  34   2.2e-23   1.2e-19   67.0   0.1   450   516   875   945   870   969 0.85 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089960.1-p1      -           5438 86at5820             -           2862         0 2987.9 213.9  11  34   6.1e-19   3.4e-15   52.2   1.4   511   578  1001  1075   995  1096 0.83 | transcript=PVX_089960.1 | gene=PVX_089960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:972932-989248(+) | protein_length=5438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
