#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117300.1-p1      -            344 8432at5820           -            308  9.1e-199  656.9   4.4   1   1  2.2e-201  1.1e-198  656.6   4.4     1   308    16   339    16   339 0.97 | transcript=PVX_117300.1 | gene=PVX_117300 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C3, putative | transcript_product=replication factor C3, putative | location=Pv_Sal1_chr12:1741770-1743238(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002640.1-p1      -            330 8432at5820           -            308   4.5e-62  208.0   4.9   1   1   1.1e-64   5.7e-62  207.6   4.9     1   295     7   322     7   328 0.84 | transcript=PVX_002640.1 | gene=PVX_002640 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=Pv_Sal1_chr04:155279-156271(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100985.1-p1      -            336 8432at5820           -            308   5.6e-57  191.2   0.9   1   1   1.3e-59   6.8e-57  191.0   0.9     1   294    19   323    19   335 0.84 | transcript=PVX_100985.1 | gene=PVX_100985 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=Pv_Sal1_chr14:2565421-2566781(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091205.1-p1      -            349 8432at5820           -            308   5.3e-19   66.5   0.9   1   2   1.3e-10   6.7e-08   30.1   0.0     2    79     4    83     3    91 0.86 | transcript=PVX_091205.1 | gene=PVX_091205 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=Pv_Sal1_chr09:337612-338661(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091205.1-p1      -            349 8432at5820           -            308   5.3e-19   66.5   0.9   2   2   3.5e-12   1.8e-09   35.3   0.1    76   180   101   207    82   240 0.82 | transcript=PVX_091205.1 | gene=PVX_091205 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=Pv_Sal1_chr09:337612-338661(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 8432at5820           -            308   1.1e-14   52.3   2.2   1   2     0.046        23    2.0   0.0     1    25   397   421   397   427 0.87 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 8432at5820           -            308   1.1e-14   52.3   2.2   2   2   3.5e-16   1.7e-13   48.4   1.7    16   212   435   633   425   682 0.77 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 8432at5820           -            308   0.00018   18.8   0.0   1   2   2.1e-05     0.011   13.0   0.0    31   111   289   369   278   377 0.76 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 8432at5820           -            308   0.00018   18.8   0.0   2   2     0.029        15    2.7   0.0    22    49   559   588   548   644 0.74 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084195.1-p1      -           1162 8432at5820           -            308   0.00081   16.6   0.9   1   2       0.3   1.5e+02   -0.7   0.0    59   107   383   429   379   436 0.79 | transcript=PVX_084195.1 | gene=PVX_084195 | organism=Plasmodium_vivax_Sal-1 | gene_product=origin recognition complex subunit 1, putative | transcript_product=origin recognition complex subunit 1, putative | location=Pv_Sal1_chr13:89530-93018(+) | protein_length=1162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084195.1-p1      -           1162 8432at5820           -            308   0.00081   16.6   0.9   2   2   2.2e-05     0.011   12.9   0.3    27    81   775   829   751   987 0.76 | transcript=PVX_084195.1 | gene=PVX_084195 | organism=Plasmodium_vivax_Sal-1 | gene_product=origin recognition complex subunit 1, putative | transcript_product=origin recognition complex subunit 1, putative | location=Pv_Sal1_chr13:89530-93018(+) | protein_length=1162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
